id	Stato	Regione	Provincia	Comune	value
A005	Italia	Lombardia	Lecco	Abbadia Lariana	1368
A010	Italia	Lombardia	Milano	Abbiategrasso	17806
A034	Italia	Lombardia	Brescia	Acquafredda	813
A038	Italia	Lombardia	Mantova	Acquanegra sul Chiese	1732
A039	Italia	Lombardia	Cremona	Acquanegra Cremonese	618
A057	Italia	Lombardia	Bergamo	Adrara San Martino	1295
A058	Italia	Lombardia	Bergamo	Adrara San Rocco	533
A060	Italia	Lombardia	Brescia	Adro	4023
A076	Italia	Lombardia	Cremona	Agnadello	2059
A082	Italia	Lombardia	Brescia	Agnosine	860
A087	Italia	Lombardia	Monza e della Brianza	Agrate Brianza	7777
A096	Italia	Lombardia	Monza e della Brianza	Aicurzio	910
A112	Italia	Lombardia	Lecco	Airuno	1554
A127	Italia	Lombardia	Milano	Albairate	1920
A129	Italia	Lombardia	Bergamo	Albano Sant'Alessandro	4127
A143	Italia	Lombardia	Como	Albavilla	2834
A153	Italia	Lombardia	Como	Albese con Cassano	1598
A159	Italia	Lombardia	Monza e della Brianza	Albiate	2931
A163	Italia	Lombardia	Bergamo	Albino	7600
A164	Italia	Lombardia	Como	Albiolo	877
A167	Italia	Lombardia	Varese	Albizzate	2302
A172	Italia	Lombardia	Sondrio	Albosaggia	1594
A175	Italia	Lombardia	Pavia	Albuzzano	1873
A188	Italia	Lombardia	Brescia	Alfianello	1218
A214	Italia	Lombardia	Bergamo	Alme'	2210
A215	Italia	Lombardia	Bergamo	Villa d'Alme'	2494
A216	Italia	Lombardia	Bergamo	Almenno San Bartolomeo	2345
A217	Italia	Lombardia	Bergamo	Almenno San Salvatore	2109
A224	Italia	Lombardia	Como	Alserio	515
A246	Italia	Lombardia	Bergamo	Alzano Lombardo	6333
A249	Italia	Lombardia	Como	Alzate Brianza	2027
A259	Italia	Lombardia	Bergamo	Ambivere	1009
A290	Italia	Lombardia	Varese	Angera	2357
A293	Italia	Lombardia	Brescia	Angolo Terme	1376
A299	Italia	Lombardia	Cremona	Annicco	1069
A301	Italia	Lombardia	Lecco	Annone di Brianza	711
A304	Italia	Lombardia	Bergamo	Antegnate	2072
A319	Italia	Lombardia	Como	Anzano del Parco	633
A333	Italia	Lombardia	Como	Appiano Gentile	3061
A337	Italia	Lombardia	Sondrio	Aprica	1391
A365	Italia	Lombardia	Bergamo	Arcene	2585
A371	Italia	Lombardia	Varese	Arcisate	5312
A375	Italia	Lombardia	Milano	Arconate	2696
A376	Italia	Lombardia	Monza e della Brianza	Arcore	8368
A382	Italia	Lombardia	Sondrio	Ardenno	1639
A383	Italia	Lombardia	Bergamo	Ardesio	1272
A387	Italia	Lombardia	Pavia	Arena Po	1088
A389	Italia	Lombardia	Milano	Arese	10177
A391	Italia	Lombardia	Como	Argegno	719
A413	Italia	Lombardia	Milano	Arluno	5271
A430	Italia	Lombardia	Como	Arosio	2013
A440	Italia	Lombardia	Bergamo	Arzago d'Adda	1298
A441	Italia	Lombardia	Varese	Arsago Seprio	2239
A451	Italia	Lombardia	Brescia	Artogne	2589
A470	Italia	Lombardia	Mantova	Asola	5525
A473	Italia	Lombardia	Milano	Assago	6527
A476	Italia	Lombardia	Como	Asso	1974
A528	Italia	Lombardia	Bergamo	Azzano San Paolo	3774
A529	Italia	Lombardia	Brescia	Azzano Mella	1837
A531	Italia	Lombardia	Varese	Azzate	1753
A557	Italia	Lombardia	Bergamo	Bagnatica	1879
A569	Italia	Lombardia	Brescia	Bagnolo Mella	7275
A570	Italia	Lombardia	Cremona	Bagnolo Cremasco	3121
A575	Italia	Lombardia	Mantova	Bagnolo San Vito	3355
A578	Italia	Lombardia	Brescia	Bagolino	1440
A594	Italia	Lombardia	Lecco	Ballabio	1658
A618	Italia	Lombardia	Milano	Baranzate	7761
A619	Italia	Lombardia	Varese	Barasso	616
A630	Italia	Lombardia	Brescia	Barbariga	1069
A645	Italia	Lombardia	Varese	Bardello	718
A652	Italia	Lombardia	Milano	Bareggio	9008
A661	Italia	Lombardia	Brescia	Barghe	571
