Country,Agricolture,Industry,Services
United States,209027.00,3327015.00,13882883.00
China,944615.00,4422042.00,5013724.00
Japan,55396.00,1269492.00,3296063.00
Germany,30876.00,1084533.00,2744138.00
United Kingdom,20616.00,618481.00,2306049.00
France,54091.00,520981.00,2271817.00
Brazil,127063.00,644729.00,1581233.00
Italy,42959.00,519804.00,1585189.00
India,356319.00,528335.00,1165204.00
Russia,72441.00,668686.00,1116334.00
Canada,32197.00,511573.00,1244947.00
Australia,57768.00,384154.00,1002267.00
South Korea,38258.00,563946.00,814746.00
Spain,46426.00,340459.00,1021377.00
Mexico,47461.00,438692.00,796572.00
Indonesia,127077.00,416776.00,344795.00
Netherlands,24258.00,208791.00,634171.00
Turkey,71744.00,226516.00,507848.00
Saudi Arabia,15049.00,503395.00,234015.00
Switzerland,9257.00,197238.00,505556.00
Nigeria,102110.00,147429.00,313214.00
Sweden,10064.00,150401.00,398648.00
Poland,18776.00,185549.00,347905.00
Belgium,3695.00,114007.00,410108.00
Norway,13813.00,195944.00,301845.00
Taiwan,6571.00,161745.00,338147.00
Argentina,44764.00,137427.00,265005.00
Austria,6541.00,128640.00,300888.00
United Arab Emirates,2915.00,247368.00,165745.00
Iran,45102.00,163496.00,194101.00
Colombia,35610.00,152044.00,212462.00
Thailand,50605.00,129367.00,200519.00
Denmark,15624.00,66314.00,265258.00
South Africa,8530.00,107824.00,224861.00
Greece,8131.00,44105.00,194407.00
Venezuela,9834.00,73020.00,126373
