creditor,debtor,amount,risk
Brittany,Taylor,22.4,3
Brittany,George,0.55,0
Brittany,Irene,26,0
Brittany,Paulo,19.4,0
Brittany,James,345,1
Taylor,Giorgio,53.8,1
Taylor,George,53.9,0
Taylor,Brad,17.3,0
Taylor,Irene,366,0
Taylor,Todd,7.73,1
Taylor,Paulo,18.3,0
Taylor,Sam,118,2
Taylor,James,322,1
Giorgio,Brittany,321,1
Giorgio,George,19.3,0
Giorgio,Brad,48.9,0
Giorgio,Paulo,32.5,0
Giorgio,Sam,57.6,2
Giorgio,James,324,1
Brad,Brittany,12,1
Brad,George,0.34,0
Brad,Sam,6.38,2
Irene,Giorgio,111,1
Irene,George,3.22,0
Irene,Brad,2.83,0
Irene,Paulo,0.87,0
Todd,Brittany,28.2,1
Todd,Giorgio,88.5,1
Todd,George,1.37,0
Todd,Brad,18.9,0
Todd,Irene,38.8,0
Todd,Paulo,2.18,0
Todd,Sam,25.9,2
Todd,James,796,1
Paulo,George,10.1,0
Paulo,Brad,3.77,0
Paulo,James,0.52,1
Sam,Brittany,326,1
Sam,George,0.78,0
Sam,Irene,9.79,0
Sam,Paulo,62,0
Sam,James,163,1
James,George,3.1,0
James,Brad,11.1,0
James,Irene,3.16,0
