name,brand,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
AMC Ambassador Brougham,AMC,13,8,360,175,3821,11,1973
AMC Ambassador DPL,AMC,15,8,390,190,3850,8.5,1970
AMC Ambassador SST,AMC,17,8,304,150,3672,11.5,1972
AMC Concord DL 6,AMC,20.2,6,232,90,3265,18.2,1979
AMC Concord DL,AMC,18.1,6,258,120,3410,15.1,1978
AMC Concord DL,AMC,23,4,151,82,3035,20.5,1982
AMC Concord,AMC,19.4,6,232,90,3210,17.2,1978
AMC Concord,AMC,24.3,4,151,90,3003,20.1,1980
AMC Gremlin,AMC,18,6,232,100,2789,15,1973
AMC Gremlin,AMC,19,6,232,100,2634,13,1971
AMC Gremlin,AMC,20,6,232,100,2914,16,1975
AMC Gremlin,AMC,21,6,199,90,2648,15,1970
AMC Hornet Sportabout (Wagon),AMC,18,6,258,110,2962,13.5,1971
AMC Hornet,AMC,18,6,199,97,2774,15.5,1970
AMC Hornet,AMC,18,6,232,100,2945,16,1973
AMC Hornet,AMC,19,6,232,100,2901,16,1974
AMC Hornet,AMC,22.5,6,232,90,3085,17.6,1976
AMC Matador (Wagon),AMC,14,8,304,150,4257,15.5,1974
AMC Matador (Wagon),AMC,15,8,304,150,3892,12.5,1972
AMC Matador,AMC,14,8,304,150,3672,11.5,1973
AMC Matador,AMC,15,6,258,110,3730,19,1975
AMC Matador,AMC,15.5,8,304,120,3962,13.9,1976
AMC Matador,AMC,16,6,258,110,3632,18,1974
AMC Matador,AMC,18,6,232,100,3288,15.5,1971
AMC Pacer D/L,AMC,17.5,6,258,95,3193,17.8,1976
AMC Pacer,AMC,19,6,232,90,3211,17,1975
AMC Rebel SST (Wagon),AMC,,8,360,175,3850,11,1970
AMC Rebel SST,AMC,16,8,304,150,3433,12,1970
AMC Spirit DL,AMC,27.4,4,121,80,2670,15,1979
Audi 100 LS,Audi,20,4,114,91,2582,14,1973
Audi 100 LS,Audi,23,4,115,95,2694,15,1975
Audi 100 LS,Audi,24,4,107,90,2430,14.5,1970
Audi 4000,Audi,34.3,4,97,78,2188,15.8,1980
Audi 5000,Audi,20.3,5,131,103,2830,15.9,1978
Audi 5000S (Diesel),Audi,36.4,5,121,67,2950,19.9,1980
Audi Fox,Audi,29,4,98,83,2219,16.5,1974
BMW 2002,BMW,26,4,121,113,2234,12.5,1970
BMW 320i,BMW,21.5,4,121,110,2600,12.8,1977
Buick Century 350,Buick,13,8,350,175,4100,13,1973
Buick Century Limited,Buick,25,6,181,110,2945,16.4,1982
