Class	Survival	Name	Gender	Age group	Age	Siblings / Spouse aboard	Parents / Children aboard	Ticket number	Fare	Fare group	Cabin	Port of Embarkation	Boat	Destination
1	yes	Allen, Miss. Elisabeth Walton	female	20 - 29	29	0	0	24160	211.3375	210	B5	Southampton	2	St Louis, MO
1	yes	Allison, Master. Hudson Trevor	male	0 - 9	0.9167	1	2	113781	151.5500	150	C22 C26	Southampton	11	Montreal, PQ / Chesterville, ON
1	no	Allison, Miss. Helen Loraine	female	0 - 9	2	1	2	113781	151.5500	150	C22 C26	Southampton		Montreal, PQ / Chesterville, ON
1	no	Allison, Mr. Hudson Joshua Creighton	male	30 - 39	30	1	2	113781	151.5500	150	C22 C26	Southampton		Montreal, PQ / Chesterville, ON
1	no	Allison, Mrs. Hudson J C (Bessie Waldo Daniels)	female	20 - 29	25	1	2	113781	151.5500	150	C22 C26	Southampton		Montreal, PQ / Chesterville, ON
1	yes	Anderson, Mr. Harry	male	40 - 49	48	0	0	19952	26.5500	30	E12	Southampton	3	New York, NY
1	yes	Andrews, Miss. Kornelia Theodosia	female	60 - 69	63	1	0	13502	77.9583	80	D7	Southampton	10	Hudson, NY
1	no	Andrews, Mr. Thomas Jr	male	30 - 39	39	0	0	112050	0.0000	0	A36	Southampton		Belfast, NI
1	yes	Appleton, Mrs. Edward Dale (Charlotte Lamson)	female	50 - 59	53	2	0	11769	51.4792	50	C101	Southampton	D	Bayside, Queens, NY
1	no	Artagaveytia, Mr. Ramon	male	70 - 79	71	0	0	PC 17609	49.5042	50		Cherbourg		Montevideo, Uruguay
1	no	Astor, Col. John Jacob	male	40 - 49	47	1	0	PC 17757	227.5250	230	C62 C64	Cherbourg		New York, NY
1	yes	Astor, Mrs. John Jacob (Madeleine Talmadge Force)	female	10 - 19	18	1	0	PC 17757	227.5250	230	C62 C64	Cherbourg	4	New York, NY
1	yes	Aubart, Mme. Leontine Pauline	female	20 - 29	24	0	0	PC 17477	69.3000	70	B35	Cherbourg	9	Paris, France
1	yes	Barber, Miss. Ellen "Nellie"	female	20 - 29	26	0	0	19877	78.8500	80		Southampton	6	
1	yes	Barkworth, Mr. Algernon Henry Wilson	male	80 - 89	80	0	0	27042	30.0000	30	A23	Southampton	B	Hessle, Yorks
1	no	Baumann, Mr. John D	male	unknown		0	0	PC 17318	25.9250	30		Southampton		New York, NY
1	no	Baxter, Mr. Quigg Edmond	male	20 - 29	24	0	1	PC 17558	247.5208	250	B58 B60	Cherbourg		Montreal, PQ
1	yes	Baxter, Mrs. James (Helene DeLaudeniere Chaput)	female	50 - 59	50	0	1	PC 17558	247.5208	250	B58 B60	Cherbourg	6	Montreal, PQ
1	yes	Bazzani, Miss. Albina	female	30 - 39	32	0	0	11813	76.2917	80	D15	Cherbourg	8	
1	no	Beattie, Mr. Thomson	male	30 - 39	36	0	0	13050	75.2417	80	C6	Cherbourg	A	Winnipeg, MN
1	yes	Beckwith, Mr. Richard Leonard	male	30 - 39	37	1	1	11751	52.5542	50	D35	Southampton	5	New York, NY
1	yes	Beckwith, Mrs. Richard Leonard (Sallie Monypeny)	female	40 - 49	47	1	1	11751	52.5542	50	D35	Southampton	5	New York, NY
1	yes	Behr, Mr. Karl Howell	male	20 - 29	26	0	0	111369	30.0000	30	C148	Cherbourg	5	New York, NY
1	yes	Bidois, Miss. Rosalie	female	40 - 49	42	0	0	PC 17757	227.5250	230		Cherbourg	4	
1	yes	Bird, Miss. Ellen	female	20 - 29	29	0	0	PC 17483	221.7792	220	C97	Southampton	8	
1	no	Birnbaum, Mr. Jakob	male	20 - 29	25	0	0	13905	26.0000	30		Cherbourg		San Francisco, CA
1	yes	Bishop, Mr. Dickinson H	male	20 - 29	25	1	0	11967	91.0792	90	B49	Cherbourg	7	Dowagiac, MI
1	yes	Bishop, Mrs. Dickinson H (Helen Walton)	female	10 - 19	19	1	0	11967	91.0792	90	B49	Cherbourg	7	Dowagiac, MI
1	yes	Bissette, Miss. Amelia	female	30 - 39	35	0	0	PC 17760	135.6333	140	C99	Southampton	8	
1	yes	Bjornstrom-Steffansson, Mr. Mauritz Hakan	male	20 - 29	28	0	0	110564	26.5500	30	C52	Southampton	D	Stockholm, Sweden / Washington, DC
1	no	Blackwell, Mr. Stephen Weart	male	40 - 49	45	0	0	113784	35.5000	40	T	Southampton		Trenton, NJ
1	yes	Blank, Mr. Henry	male	40 - 49	40	0	0	112277	31.0000	30	A31	Cherbourg	7	Glen Ridge, NJ
1	yes	Bonnell, Miss. Caroline	female	30 - 39	30	0	0	36928	164.8667	160	C7	Southampton	8	Youngstown, OH
1	yes	Bonnell, Miss. Elizabeth	female	50 - 59	58	0	0	113783	26.5500	30	C103	Southampton	8	Birkdale, England Cleveland, Ohio
1	no	Borebank, Mr. John James	male	40 - 49	42	0	0	110489	26.5500	30	D22	Southampton		London / Winnipeg, MB
1	yes	Bowen, Miss. Grace Scott	female	40 - 49	45	0	0	PC 17608	262.3750	260		Cherbourg	4	Cooperstown, NY
1	yes	Bowerman, Miss. Elsie Edith	female	20 - 29	22	0	1	113505	55.0000	60	E33	Southampton	6	St Leonards-on-Sea, England Ohio
1	yes	Bradley, Mr. George ("George Arthur Brayton")	male	unknown		0	0	111427	26.5500	30		Southampton	9	Los Angeles, CA
1	no	Brady, Mr. John Bertram	male	40 - 49	41	0	0	113054	30.5000	30	A21	Southampton		Pomeroy, WA
1	no	Brandeis, Mr. Emil	male	40 - 49	48	0	0	PC 17591	50.4958	50	B10	Cherbourg		Omaha, NE
1	no	Brewe, Dr. Arthur Jackson	male	unknown		0	0	112379	39.6000	40		Cherbourg		Philadelphia, PA
1	yes	Brown, Mrs. James Joseph (Margaret Tobin)	female	40 - 49	44	0	0	PC 17610	27.7208	30	B4	Cherbourg	6	Denver, CO
1	yes	Brown, Mrs. John Murray (Caroline Lane Lamson)	female	50 - 59	59	2	0	11769	51.4792	50	C101	Southampton	D	Belmont, MA
1	yes	Bucknell, Mrs. William Robert (Emma Eliza Ward)	female	60 - 69	60	0	0	11813	76.2917	80	D15	Cherbourg	8	Philadelphia, PA
1	yes	Burns, Miss. Elizabeth Margaret	female	40 - 49	41	0	0	16966	134.5000	130	E40	Cherbourg	3	
1	no	Butt, Major. Archibald Willingham	male	40 - 49	45	0	0	113050	26.5500	30	B38	Southampton		Washington, DC
1	no	Cairns, Mr. Alexander	male	unknown		0	0	113798	31.0000	30		Southampton		
1	yes	Calderhead, Mr. Edward Pennington	male	40 - 49	42	0	0	PC 17476	26.2875	30	E24	Southampton	5	New York, NY
1	yes	Candee, Mrs. Edward (Helen Churchill Hungerford)	female	50 - 59	53	0	0	PC 17606	27.4458	30		Cherbourg	6	Washington, DC
1	yes	Cardeza, Mr. Thomas Drake Martinez	male	30 - 39	36	0	1	PC 17755	512.3292	510	B51 B53 B55	Cherbourg	3	Austria-Hungary / Germantown, Philadelphia, PA
1	yes	Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)	female	50 - 59	58	0	1	PC 17755	512.3292	510	B51 B53 B55	Cherbourg	3	Germantown, Philadelphia, PA
1	no	Carlsson, Mr. Frans Olof	male	30 - 39	33	0	0	695	5.0000	10	B51 B53 B55	Southampton		New York, NY
1	no	Carrau, Mr. Francisco M	male	20 - 29	28	0	0	113059	47.1000	50		Southampton		Montevideo, Uruguay
1	no	Carrau, Mr. Jose Pedro	male	10 - 19	17	0	0	113059	47.1000	50		Southampton		Montevideo, Uruguay
1	yes	Carter, Master. William Thornton II	male	10 - 19	11	1	2	113760	120.0000	120	B96 B98	Southampton	4	Bryn Mawr, PA
1	yes	Carter, Miss. Lucile Polk	female	10 - 19	14	1	2	113760	120.0000	120	B96 B98	Southampton	4	Bryn Mawr, PA
1	yes	Carter, Mr. William Ernest	male	30 - 39	36	1	2	113760	120.0000	120	B96 B98	Southampton	C	Bryn Mawr, PA
1	yes	Carter, Mrs. William Ernest (Lucile Polk)	female	30 - 39	36	1	2	113760	120.0000	120	B96 B98	Southampton	4	Bryn Mawr, PA
1	no	Case, Mr. Howard Brown	male	40 - 49	49	0	0	19924	26.0000	30		Southampton		Ascot, Berkshire / Rochester, NY
1	yes	Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)	female	unknown		0	0	17770	27.7208	30		Cherbourg	5	New York, NY
1	no	Cavendish, Mr. Tyrell William	male	30 - 39	36	1	0	19877	78.8500	80	C46	Southampton		Little Onn Hall, Staffs
1	yes	Cavendish, Mrs. Tyrell William (Julia Florence Siegel)	female	70 - 79	76	1	0	19877	78.8500	80	C46	Southampton	6	Little Onn Hall, Staffs
1	no	Chaffee, Mr. Herbert Fuller	male	40 - 49	46	1	0	W.E.P. 5734	61.1750	60	E31	Southampton		Amenia, ND
1	yes	Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)	female	40 - 49	47	1	0	W.E.P. 5734	61.1750	60	E31	Southampton	4	Amenia, ND
1	yes	Chambers, Mr. Norman Campbell	male	20 - 29	27	1	0	113806	53.1000	50	E8	Southampton	5	New York, NY / Ithaca, NY
1	yes	Chambers, Mrs. Norman Campbell (Bertha Griggs)	female	30 - 39	33	1	0	113806	53.1000	50	E8	Southampton	5	New York, NY / Ithaca, NY
1	yes	Chaudanson, Miss. Victorine	female	30 - 39	36	0	0	PC 17608	262.3750	260	B61	Cherbourg	4	
1	yes	Cherry, Miss. Gladys	female	30 - 39	30	0	0	110152	86.5000	90	B77	Southampton	8	London, England
1	yes	Chevre, Mr. Paul Romaine	male	40 - 49	45	0	0	PC 17594	29.7000	30	A9	Cherbourg	7	Paris, France
1	yes	Chibnall, Mrs. (Edith Martha Bowerman)	female	unknown		0	1	113505	55.0000	60	E33	Southampton	6	St Leonards-on-Sea, England Ohio
1	no	Chisholm, Mr. Roderick Robert Crispin	male	unknown		0	0	112051	0.0000	0		Southampton		Liverpool, England / Belfast
1	no	Clark, Mr. Walter Miller	male	20 - 29	27	1	0	13508	136.7792	140	C89	Cherbourg		Los Angeles, CA
1	yes	Clark, Mrs. Walter Miller (Virginia McDowell)	female	20 - 29	26	1	0	13508	136.7792	140	C89	Cherbourg	4	Los Angeles, CA
1	yes	Cleaver, Miss. Alice	female	20 - 29	22	0	0	113781	151.5500	150		Southampton	11	
1	no	Clifford, Mr. George Quincy	male	unknown		0	0	110465	52.0000	50	A14	Southampton		Stoughton, MA
1	no	Colley, Mr. Edward Pomeroy	male	40 - 49	47	0	0	5727	25.5875	30	E58	Southampton		Victoria, BC
1	yes	Compton, Miss. Sara Rebecca	female	30 - 39	39	1	1	PC 17756	83.1583	80	E49	Cherbourg	14	Lakewood, NJ
1	no	Compton, Mr. Alexander Taylor Jr	male	30 - 39	37	1	1	PC 17756	83.1583	80	E52	Cherbourg		Lakewood, NJ
1	yes	Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)	female	60 - 69	64	0	2	PC 17756	83.1583	80	E45	Cherbourg	14	Lakewood, NJ
1	yes	Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)	female	50 - 59	55	2	0	11770	25.7000	30	C101	Southampton	2	New York, NY
1	no	Crafton, Mr. John Bertram	male	unknown		0	0	113791	26.5500	30		Southampton		Roachdale, IN
1	no	Crosby, Capt. Edward Gifford	male	70 - 79	70	1	1	WE/P 5735	71.0000	70	B22	Southampton		Milwaukee, WI
1	yes	Crosby, Miss. Harriet R	female	30 - 39	36	0	2	WE/P 5735	71.0000	70	B22	Southampton	7	Milwaukee, WI
1	yes	Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)	female	60 - 69	64	1	1	112901	26.5500	30	B26	Southampton	7	Milwaukee, WI
1	no	Cumings, Mr. John Bradley	male	30 - 39	39	1	0	PC 17599	71.2833	70	C85	Cherbourg		New York, NY
1	yes	Cumings, Mrs. John Bradley (Florence Briggs Thayer)	female	30 - 39	38	1	0	PC 17599	71.2833	70	C85	Cherbourg	4	New York, NY
1	yes	Daly, Mr. Peter Denis 	male	50 - 59	51	0	0	113055	26.5500	30	E17	Southampton	5 9	Lima, Peru
1	yes	Daniel, Mr. Robert Williams	male	20 - 29	27	0	0	113804	30.5000	30		Southampton	3	Philadelphia, PA
1	yes	Daniels, Miss. Sarah	female	30 - 39	33	0	0	113781	151.5500	150		Southampton	8	
1	no	Davidson, Mr. Thornton	male	30 - 39	31	1	0	F.C. 12750	52.0000	50	B71	Southampton		Montreal, PQ
1	yes	Davidson, Mrs. Thornton (Orian Hays)	female	20 - 29	27	1	2	F.C. 12750	52.0000	50	B71	Southampton	3	Montreal, PQ
1	yes	Dick, Mr. Albert Adrian	male	30 - 39	31	1	0	17474	57.0000	60	B20	Southampton	3	Calgary, AB
1	yes	Dick, Mrs. Albert Adrian (Vera Gillespie)	female	10 - 19	17	1	0	17474	57.0000	60	B20	Southampton	3	Calgary, AB
1	yes	Dodge, Dr. Washington	male	50 - 59	53	1	1	33638	81.8583	80	A34	Southampton	13	San Francisco, CA
1	yes	Dodge, Master. Washington	male	0 - 9	4	0	2	33638	81.8583	80	A34	Southampton	5	San Francisco, CA
1	yes	Dodge, Mrs. Washington (Ruth Vidaver)	female	50 - 59	54	1	1	33638	81.8583	80	A34	Southampton	5	San Francisco, CA
1	no	Douglas, Mr. Walter Donald	male	50 - 59	50	1	0	PC 17761	106.4250	110	C86	Cherbourg		Deephaven, MN / Cedar Rapids, IA
1	yes	Douglas, Mrs. Frederick Charles (Mary Helene Baxter)	female	20 - 29	27	1	1	PC 17558	247.5208	250	B58 B60	Cherbourg	6	Montreal, PQ
1	yes	Douglas, Mrs. Walter Donald (Mahala Dutton)	female	40 - 49	48	1	0	PC 17761	106.4250	110	C86	Cherbourg	2	Deephaven, MN / Cedar Rapids, IA
1	yes	Duff Gordon, Lady. (Lucille Christiana Sutherland) ("Mrs Morgan")	female	40 - 49	48	1	0	11755	39.6000	40	A16	Cherbourg	1	London / Paris
1	yes	Duff Gordon, Sir. Cosmo Edmund ("Mr Morgan")	male	40 - 49	49	1	0	PC 17485	56.9292	60	A20	Cherbourg	1	London / Paris
1	no	Dulles, Mr. William Crothers	male	30 - 39	39	0	0	PC 17580	29.7000	30	A18	Cherbourg		Philadelphia, PA
1	yes	Earnshaw, Mrs. Boulton (Olive Potter)	female	20 - 29	23	0	1	11767	83.1583	80	C54	Cherbourg	7	Mt Airy, Philadelphia, PA
1	yes	Endres, Miss. Caroline Louise	female	30 - 39	38	0	0	PC 17757	227.5250	230	C45	Cherbourg	4	New York, NY
1	yes	Eustis, Miss. Elizabeth Mussey	female	50 - 59	54	1	0	36947	78.2667	80	D20	Cherbourg	4	Brookline, MA
1	no	Evans, Miss. Edith Corse	female	30 - 39	36	0	0	PC 17531	31.6792	30	A29	Cherbourg		New York, NY
1	no	Farthing, Mr. John	male	unknown		0	0	PC 17483	221.7792	220	C95	Southampton		
1	yes	Flegenheim, Mrs. Alfred (Antoinette)	female	unknown		0	0	PC 17598	31.6833	30		Southampton	7	New York, NY
