Category	Format	Year	year-date	Units	Revenues in millions	Revenues in millions (Adjusted for inflation)
Tape	8 - Track	1973	1973-01-01	91	489	2815.681824
Tape	8 - Track	1974	1974-01-01	96.7	549.2	2848.008609
Tape	8 - Track	1975	1975-01-01	94.6	583	2770.409498
Tape	8 - Track	1976	1976-01-01	106.1	678.2	3047.215772
Tape	8 - Track	1977	1977-01-01	127.3	811	3421.416287
Tape	8 - Track	1978	1978-01-01	133.6	948	3717.221411
Tape	8 - Track	1979	1979-01-01	102.3	684.3	2409.72569
Tape	8 - Track	1980	1980-01-01	85	527	1635.087852
Tape	8 - Track	1981	1981-01-01	50	313	880.3150825
Tape	8 - Track	1982	1982-01-01	13.7	36	95.37463212
Tape	Cassette	1973	1973-01-01	15	76	437.6110811
Tape	Cassette	1974	1974-01-01	15.3	87.2	452.1965598
Tape	Cassette	1975	1975-01-01	16.2	98.8	469.4964981
Tape	Cassette	1976	1976-01-01	21.8	145.7	654.6436714
Tape	Cassette	1977	1977-01-01	36.9	249.6	1053.003089
Tape	Cassette	1978	1978-01-01	61.3	449.8	1763.71961
Tape	Cassette	1979	1979-01-01	78.5	580.6	2044.551711
Tape	Cassette	1980	1980-01-01	99	705	2187.356614
Tape	Cassette	1981	1981-01-01	124	1062.8	2989.133769
Tape	Cassette	1982	1982-01-01	183.2	1384.5	3667.949394
Tape	Cassette	1983	1983-01-01	236.8	1810.9	4648.285756
Tape	Cassette	1984	1984-01-01	332	2383.9	5865.839483
Tape	Cassette	1985	1985-01-01	339.1	2411.5	5729.710553
Tape	Cassette	1986	1986-01-01	344.5	2499.5	5830.425835
Tape	Cassette	1987	1987-01-01	410	2959.7	6660.810061
Tape	Cassette	1988	1988-01-01	450.1	3385.1	7315.507276
Tape	Cassette	1989	1989-01-01	446.2	3345.8	6898.20315
Tape	Cassette	1990	1990-01-01	442.2	3472.4	6792.221628
Tape	Cassette	1991	1991-01-01	360.1	3019.6	5668.002035
Tape	Cassette	1992	1992-01-01	366.4	3116.3	5678.573835
Tape	Cassette	1993	1993-01-01	339.5	2915.8	5158.786717
Tape	Cassette	1994	1994-01-01	345.4	2976.4	5134.531004
Tape	Cassette	1995	1995-01-01	272.6	2303.6	3864.379693
Tape	Cassette	1996	1996-01-01	225.3	1905.3	3104.546094
Tape	Cassette	1997	1997-01-01	172.6	1522.7	2425.476099
Tape	Cassette	1998	1998-01-01	158.5	1419.9	2227.039106
Tape	Cassette	1999	1999-01-01	123.6	1061.6	1629.084461
Tape	Cassette	2000	2000-01-01	76	626	929.3918815
Tape	Cassette	2001	2001-01-01	45	363.4	524.5948831
Tape	Cassette	2002	2002-01-01	31.1	209.8	298.1480745
Tape	Cassette	2003	2003-01-01	17.2	108.1	150.1984875
Tape	Cassette	2004	2004-01-01	5.2	23.7	32.07554738
Tape	Cassette	2005	2005-01-01	2.5	13.1	17.14852381
Tape	Cassette	2006	2006-01-01	0.7	3.7	4.69211756
Tape	Cassette	2007	2007-01-01	0.4	3	3.699811867
Tape	Cassette	2008	2008-01-01	0.1	0.9	1.068685991
Tape	Cassette Single	1987	1987-01-01	5.1	14.3	32.18217518
Tape	Cassette Single	1988	1988-01-01	22.5	57.3	123.8304827
Tape	Cassette Single	1989	1989-01-01	76.2	194.6	401.21655
Tape	Cassette Single	1990	1990-01-01	87.4	257.9	504.4677911
Tape	Cassette Single	1991	1991-01-01	69	230.4	432.4770396
Tape	Cassette Single	1992	1992-01-01	84.6	298.8	544.4783436
Tape	Cassette Single	1993	1993-01-01	85.6	298.5	528.1218997
Tape	Cassette Single	1994	1994-01-01	81.1	274.9	474.2247591
Tape	Cassette Single	1995	1995-01-01	70.7	236.3	396.4025532
Tape	Cassette Single	1996	1996-01-01	59.9	189.3	308.4504149
Tape	Cassette Single	1997	1997-01-01	42.2	133.5	212.6492804
Tape	Cassette Single	1998	1998-01-01	26.4	94.4	148.0614773
Tape	Cassette Single	1999	1999-01-01	14.2	48	73.65867947
Tape	Cassette Single	2000	2000-01-01	1.3	4.6	6.829397213
Disc	CD	1983	1983-01-01	0.8	17.2	44.14960241
Disc	CD	1984	1984-01-01	5.8	103.3	254.1806362
Disc	CD	1985	1985-01-01	22.6	389.5	925.4498281
Disc	CD	1986	1986-01-01	53	930.1	2169.585545
Disc	CD	1987	1987-01-01	102.1	1593.6	3586.399606
Disc	CD	1988	1988-01-01	149.7	2089.9	4516.462927
Disc	CD	1989	1989-01-01	207.2	2587.7	5335.190475
Disc	CD	1990	1990-01-01	286.5	3451.6	6751.535587
Disc	CD	1991	1991-01-01	333.3	4337.7	8142.168641
Disc	CD	1992	1992-01-01	407.5	5326.5	9706.037138
Disc	CD	1993	1993-01-01	495.4	6511.4	11520.31135
Disc	CD	1994	1994-01-01	662.1	8464.5	14601.94788
Disc	CD	1995	1995-01-01	722.9	9377.4	15730.95769
Disc	CD	1996	1996-01-01	778.9	9934.7	16187.86232
Disc	CD	1997	1997-01-01	753.1	9915.1	15793.54966
Disc	CD	1998	1998-01-01	847	11416	17905.40069
Disc	CD	1999	1999-01-01	938.9	12816.3	19667.32779
Disc	CD	2000	2000-01-01	942.5	13214.5	19618.92814
Disc	CD	2001	2001-01-01	881.9	12909.4	18635.67745
Disc	CD	2002	2002-01-01	803.3	12044.1	17115.94482
Disc	CD	2003	2003-01-01	746	11232.9	15607.44302
Disc	CD	2004	2004-01-01	767	11446.5	15491.67735
Disc	CD	2005	2005-01-01	705.4	10520.2	13771.44276
Disc	CD	2006	2006-01-01	619.7	9372.6	11885.76785
Disc	CD	2007	2007-01-01	499.7	7452.3	9190.702658
Disc	CD	2008	2008-01-01	368.4	5471.3	6496.779627
Disc	CD	2009	2009-01-01	296.6	4318.8	5146.57822
Disc	CD	2010	2010-01-01	253	3389.4	3973.859173
Disc	CD	2011	2011-01-01	240.8	3100.7	3524.136143
Disc	CD	2012	2012-01-01	198.1643872	2485.614699	2767.776149
Disc	CD	2013	2013-01-01	173.7933029	2140.917718	2349.534897
Disc	CD	2014	2014-01-01	138.7023634	1776.249324	1918.215115
Disc	CD	2015	2015-01-01	117.1440518	1444.993194	1558.633452
Disc	CD	2016	2016-01-01	97.5770712	1130.764651	1204.497778
Disc	CD	2017	2017-01-01	87.68249997	1057.32309	1102.774352
Disc	CD	2018	2018-01-01	51.95427564	698.3866372	711.0412395
Disc	CD	2019	2019-01-01	46.50649558	614.5097799	614.5097799
Disc	CD Single	1988	1988-01-01	1.6	9.8	21.17868639
Disc	CD Single	1990	1990-01-01	1.1	6	11.73635807
Disc	CD Single	1991	1991-01-01	5.7	35.1	65.88517401
Disc	CD Single	1992	1992-01-01	7.3	45.1	82.1819722
Disc	CD Single	1993	1993-01-01	7.8	45.8	81.03176886
Disc	CD Single	1994	1994-01-01	9.3	56.1	96.77704251
Disc	CD Single	1995	1995-01-01	21.5	110.9	186.0391161
Disc	CD Single	1996	1996-01-01	43.2	184.1	299.9773977
Disc	CD Single	1997	1997-01-01	66.7	272.7	434.3779682
Disc	CD Single	1998	1998-01-01	56	213.2	334.3930822
Disc	CD Single	1999	1999-01-01	55.9	222.4	341.2852149
Disc	CD Single	2000	2000-01-01	34.2	142.7	211.8597787
Disc	CD Single	2001	2001-01-01	17.3	79.4	114.6197956
Disc	CD Single	2002	2002-01-01	4.5	19.6	27.85368093
Disc	CD Single	2003	2003-01-01	8.3	36	50.01984783
Disc	CD Single	2004	2004-01-01	3.1	15	20.30097935
Disc	CD Single	2005	2005-01-01	2.8	10.9	14.26861905
