Occupation	Mean wage	category
Management	160290	Management
Chief Executives	219390	Management
General and Operations Managers	158460	Management
Legislators	91870	Management
Advertising and Promotions Managers	188270	Management
Marketing Managers	189730	Management
Sales Managers	197610	Management
Public Relations and Fundraising Managers	177400	Management
Administrative Services Managers	140700	Management
Computer and Information Systems Managers	193840	Management
Financial Managers	214050	Management
Industrial Production Managers	133390	Management
Purchasing Managers	161430	Management
Transportation, Storage, and Distribution Managers	122880	Management
Compensation and Benefits Managers	179260	Management
Human Resources Managers	161710	Management
Training and Development Managers	159750	Management
Farmers, Ranchers, and Other Agricultural Managers	102580	Management
Construction Managers	137780	Management
Education Administrators, Preschool and Childcare Center/Program	77160	Management
Education Administrators, Elementary and Secondary School	132970	Management
Education Administrators, Postsecondary	143430	Management
Education Administrators, All Other	113940	Management
Architectural and Engineering Managers	167320	Management
Food Service Managers	77140	Management
Gaming Managers	83150	Management
Lodging Managers	84200	Management
Medical and Health Services Managers	149670	Management
Natural Sciences Managers	162490	Management
Postmasters and Mail Superintendents	80780	Management
Property, Real Estate, and Community Association Managers	111590	Management
Social and Community Service Managers	87900	Management
Emergency Management Directors	102110	Management
Funeral Home Managers	111230	Management
Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other	135120	Management
Business and Financial Operations	97890	Business and Financial Operations
Agents and Business Managers of Artists, Performers, and Athletes	103590	Business and Financial Operations
Buyers and Purchasing Agents	77410	Business and Financial Operations
Claims Adjusters, Examiners, and Investigators	74630	Business and Financial Operations
Insurance Appraisers, Auto Damage	69180	Business and Financial Operations
Compliance Officers	79660	Business and Financial Operations
Cost Estimators	79530	Business and Financial Operations
Human Resources Specialists	77550	Business and Financial Operations
Labor Relations Specialists	83040	Business and Financial Operations
Logisticians	77340	Business and Financial Operations
Management Analysts	114310	Business and Financial Operations
Meeting, Convention, and Event Planners	70510	Business and Financial Operations
Fundraisers	72120	Business and Financial Operations
Compensation, Benefits, and Job Analysis Specialists	80240	Business and Financial Operations
Training and Development Specialists	73380	Business and Financial Operations
Market Research Analysts and Marketing Specialists	79660	Business and Financial Operations
Project Management Specialists and Business Operations Specialists, All Other	93730	Business and Financial Operations
Accountants and Auditors	100440	Business and Financial Operations
