Budget (mln)	Real Worldwide Box Office (mln)	ROI	Genre	Title
3.9	402	104.5	Drama	Gone with the Wind
237	2790	11.8	Action	Avatar
200	2194	11	Drama	Titanic
11	776	70.5	Action	Star Wars: Episode IV - A New Hope
356	2798	7.9	Action	Avengers: Endgame
8.2	286	34.9	Biography	The Sound of Music
10.5	793	75.5	Family	E.T. the Extra-Terrestrial
13	123	9.4	Adventure	The Ten Commandments
11	245	22.3	Drama	Doctor Zhivago
258	2068	8	Action	Star Wars: Episode VII - The Force Awakens
1.5	418	278.7	Animation	Snow White and the Seven Dwarfs
63	1032	16.4	Action	Jurassic Park
9	471	52.4	Adventure	Jaws
358	2048	5.7	Action	Avengers: Infinity War
12	441	36.8	Horror	The Exorcist
4	303	75.8	Animation	One Hundred and One Dalmatians
45	969	21.5	Animation	The Lion King
150	1670	11.1	Action	Jurassic World
4	378	94.5	Animation	The Jungle Book
115	1027	8.9	Action	Star Wars: Episode I - The Phantom Menace
15.2	147	9.7	Adventure	Ben-Hur
220	1519	6.9	Action	The Avengers
94	1142	12.2	Adventure	The Lord of the Rings: The Return of the King
23	548	23.8	Action	Star Wars: Episode V - The Empire Strikes Back
75	817	10.9	Action	Independence Day
255	1657	6.5	Animation	The Lion King
190	1515	8	Action	Furious 7
125	978	7.8	Adventure	Harry Potter and the Sorcerer's Stone
2.9	264	90.9	Animation	Cinderella
175	1342	7.7	Adventure	Harry Potter and the Deathly Hallows: Part 2
10	141	14.1	Action	Thunderball
0.9	268	297.2	Animation	Bambi
225	1066	4.7	Action	Pirates of the Caribbean: Dead Man's Chest
365	1403	3.8	Action	Avengers: Age of Ultron
3.5	125	35.7	Action	Goldfinger
6	397	66.2	Musical	Grease
55	678	12.3	Drama	Forrest Gump
94	951	10.1	Adventure	The Lord of the Rings: The Two Towers
93	888	9.5	Action	The Lord of the Rings: The Fellowship of the Ring
150	1281	8.5	Animation	Frozen
150	1450	9.7	Animation	Frozen II
94	940	10	Animation	Finding Nemo
100	879	8.8	Adventure	Harry Potter and the Chamber of Secrets
150	929	6.2	Animation	Shrek 2
200	1347	6.7	Action	Black Panther
258.5	1333	5.2	Action	Star Wars: Episode VIII - The Last Jedi
32.4	475	14.7	Action	Star Wars: Episode VI - Return of the Jedi
200	1215	6.1	Action	Iron Man 3
178.5	1308	7.3	Action	Jurassic World: Fallen Kingdom
5.8	246	42.8	Crime	The Godfather
