Country	Date	Residents
Albania	01/01/1979	34
Albania	01/01/1980	30
Albania	01/01/1981	28
Albania	01/01/1982	27
Albania	01/01/1983	31
Albania	01/01/1984	28
Albania	01/01/1985	26
Albania	01/01/1986	23
Albania	01/01/1987	22
Albania	01/01/1988	20
Albania	01/01/1989	19
Albania	01/01/1990	19
Albania	01/01/1991	62
Albania	01/01/1992	0
Albania	01/01/1993	242
Albania	01/01/1994	338
Albania	01/01/1995	438
Albania	01/01/1996	531
Albania	01/01/1997	837
Albania	01/01/1998	1367
Albania	01/01/1999	1576
Albania	01/01/2000	2205
Albania	01/01/2001	2997
Albania	01/01/2002	3240
Albania	01/01/2003	2861
Albania	01/01/2004	3672
Albania	01/01/2005	4273
Albania	01/01/2006	4475
Albania	01/01/2007	4529
Albania	01/01/2008	4608
Albania	01/01/2009	5012
Albania	01/01/2010	5283
Albania	01/01/2011	5441
Albania	01/01/2012	5805
Albania	01/01/2013	5746
Albania	01/01/2014	5362
Albania	01/01/2015	5298
China	01/01/1979	166
China	01/01/1980	152
China	01/01/1981	194
China	01/01/1982	278
China	01/01/1983	456
China	01/01/1984	500
China	01/01/1985	531
China	01/01/1986	580
China	01/01/1987	1069
China	01/01/1988	1508
China	01/01/1989	1594
China	01/01/1990	1892
China	01/01/1991	983
China	01/01/1992	2793
China	01/01/1993	3079
China	01/01/1994	3284
China	01/01/1995	3576
China	01/01/1996	3878
China	01/01/1997	5038
China	01/01/1998	6931
China	01/01/1999	7516
China	01/01/2000	8675
China	01/01/2001	10296
China	01/01/2002	10947
China	01/01/2003	9301
China	01/01/2004	11529
China	01/01/2005	13110
China	01/01/2006	14039
China	01/01/2007	14736
China	01/01/2008	15259
China	01/01/2009	17201
China	01/01/2010	18946
China	01/01/2011	20852
China	01/01/2012	23967
China	01/01/2013	25062
China	01/01/2014	25928
China	01/01/2015	27363
Ecuador	01/01/1979	8
Ecuador	01/01/1980	8
Ecuador	01/01/1981	9
Ecuador	01/01/1982	13
Ecuador	01/01/1983	14
Ecuador	01/01/1984	16
Ecuador	01/01/1985	17
Ecuador	01/01/1986	18
Ecuador	01/01/1987	23
Ecuador	01/01/1988	34
Ecuador	01/01/1989	34
Ecuador	01/01/1990	60
Ecuador	01/01/1991	71
Ecuador	01/01/1992	0
Ecuador	01/01/1993	97
Ecuador	01/01/1994	108
Ecuador	01/01/1995	149
Ecuador	01/01/1996	203
Ecuador	01/01/1997	441
Ecuador	01/01/1998	751
Ecuador	01/01/1999	1101
Ecuador	01/01/2000	2006
Ecuador	01/01/2001	2714
Ecuador	01/01/2002	3157
Ecuador	01/01/2003	4163
Ecuador	01/01/2004	10518
Ecuador	01/01/2005	12356
Ecuador	01/01/2006	12680
Ecuador	01/01/2007	12348
Ecuador	01/01/2008	12137
Ecuador	01/01/2009	12884
Ecuador	01/01/2010	13542
Ecuador	01/01/2011	14232
Ecuador	01/01/2012	14909
Ecuador	01/01/2013	14748
Ecuador	01/01/2014	13524
Ecuador	01/01/2015	13458
Egypt	01/01/1979	706
Egypt	01/01/1980	873
Egypt	01/01/1981	1237
Egypt	01/01/1982	1658
Egypt	01/01/1983	2201
Egypt	01/01/1984	2498
Egypt	01/01/1985	2687
Egypt	01/01/1986	2798
Egypt	01/01/1987	3167
Egypt	01/01/1988	3574
Egypt	01/01/1989	3829
Egypt	01/01/1990	4536
Egypt	01/01/1991	2934
Egypt	01/01/1992	6360
Egypt	01/01/1993	6834
Egypt	01/01/1994	7325
Egypt	01/01/1995	7473
Egypt	01/01/1996	8154
Egypt	01/01/1997	9439
Egypt	01/01/1998	11075
Egypt	01/01/1999	11842
Egypt	01/01/2000	13309
Egypt	01/01/2001	15581
Egypt	01/01/2002	15670
Egypt	01/01/2003	13020
Egypt	01/01/2004	18529
Egypt	01/01/2005	20992
Egypt	01/01/2006	22137
Egypt	01/01/2007	22934
Egypt	01/01/2008	23518
Egypt	01/01/2009	25838
Egypt	01/01/2010	28643
Egypt	01/01/2011	31999
Egypt	01/01/2012	35970
Egypt	01/01/2013	37073
Egypt	01/01/2014	35597
Egypt	01/01/2015	36628
El Salvador	01/01/1979	38
El Salvador	01/01/1980	49
El Salvador	01/01/1981	99
El Salvador	01/01/1982	154
El Salvador	01/01/1983	203
El Salvador	01/01/1984	247
El Salvador	01/01/1985	278
El Salvador	01/01/1986	303
El Salvador	01/01/1987	431
El Salvador	01/01/1988	494
El Salvador	01/01/1989	507
El Salvador	01/01/1990	632
