Date	Mean temerature (°C)
1944-10-01	11.11
1944-10-02	10.00
1944-10-03	8.33
1944-10-04	8.89
1944-10-05	7.78
1944-10-06	10.00
1944-10-07	12.78
1944-10-08	12.78
1944-10-09	11.11
1944-10-10	11.11
1944-10-11	12.22
1944-10-12	12.22
1944-10-13	10.00
1944-10-14	12.78
1944-10-15	12.22
1944-10-16	12.78
1944-10-17	11.67
1944-10-18	13.33
1944-10-19	10.56
1944-10-20	10.00
1944-10-21	11.67
1944-10-22	11.67
1944-10-23	7.78
1944-10-24	7.22
1944-10-25	9.44
1944-10-26	12.22
1944-10-27	7.22
1944-10-28	5.56
1944-10-29	6.67
1944-10-30	4.44
1944-10-31	6.67
1944-11-01	7.78
1944-11-02	5.56
1944-11-03	5.56
1944-11-04	10.00
1944-11-05	10.00
1944-11-06	10.56
1944-11-07	11.11
1944-11-08	10.00
1944-11-09	5.00
1944-11-10	4.44
1944-11-11	3.33
1944-11-12	3.89
1944-11-13	4.44
1944-11-14	5.00
1944-11-15	2.78
1944-11-16	2.22
1944-11-17	5.56
1944-11-18	8.89
1944-11-19	11.11
1944-11-20	8.89
1944-11-21	6.67
1944-11-22	8.89
1944-11-23	12.78
1944-11-24	12.78
1944-11-25	8.33
1944-11-26	5.56
1944-11-27	6.11
1944-11-28	4.44
1944-11-29	7.78
1944-11-30	7.78
1944-12-01	7.78
1944-12-02	5.00
1944-12-03	7.78
1944-12-04	8.89
1944-12-05	5.56
1944-12-06	7.22
1944-12-07	7.22
1944-12-08	3.89
1944-12-09	2.78
1944-12-10	3.33
1944-12-11	6.67
1944-12-12	4.44
1944-12-13	4.44
1944-12-14	1.67
1944-12-15	2.22
1944-12-16	7.22
1944-12-17	9.44
1944-12-18	4.44
1944-12-19	3.33
1944-12-20	4.44
1944-12-21	5.00
1944-12-22	3.89
1944-12-23	0.00
1944-12-24	-1.67
1944-12-25	1.11
1944-12-26	-1.67
1944-12-27	-2.22
1944-12-28	-2.22
1944-12-29	-1.11
1944-12-30	-1.11
1944-12-31	2.22
1945-01-01	1.11
1945-01-02	-2.22
1945-01-03	2.78
1945-01-04	1.67
1945-01-05	1.11
1945-01-06	-1.67
1945-01-07	-1.67
1945-01-08	-2.22
1945-01-09	-2.22
1945-01-10	-2.22
1945-01-11	-6.67
1945-01-12	-6.67
1945-01-13	-6.67
1945-01-14	-4.44
1945-01-15	-5.56
1945-01-16	-3.33
1945-01-17	-2.22
1945-01-18	2.22
1945-01-19	2.22
1945-01-20	-2.22
1945-01-21	-3.33
1945-01-22	-3.89
1945-01-23	-0.56
1945-01-24	-2.78
1945-01-25	-5.00
1945-01-26	-3.89
1945-01-27	-5.00
1945-01-28	-4.44
1945-01-29	-7.78
1945-01-30	-2.22
1945-01-31	3.89
1945-03-01	8.33
1945-03-02	5.56
1945-03-03	4.44
1945-03-04	4.44
1945-03-05	5.00
1945-03-06	7.78
1945-03-07	8.89
1945-03-08	7.78
1945-03-09	6.11
1945-03-10	8.89
1945-03-11	7.22
1945-03-12	6.11
1945-03-13	6.67
1945-03-14	8.89
1945-03-15	11.11
1945-03-16	6.67
1945-03-17	8.33
1945-03-18	10.00
1945-03-19	8.89
1945-03-20	8.89
1945-03-21	12.22
1945-03-22	10.56
1945-03-23	13.89
1945-03-24	14.44
1945-03-25	14.44
1945-03-26	11.67
1945-03-27	10.00
1945-03-28	7.78
1945-03-29	12.22
1945-03-30	7.78
1945-03-31	8.33
1945-04-01	12.22
1945-04-02	12.78
1945-04-03	8.89
1945-04-04	7.78
1945-04-05	10.00
1945-04-06	11.11
1945-04-07	11.11
1945-04-08	10.56
1945-04-09	12.22
1945-04-10	13.89
1945-04-11	16.11
1945-04-12	14.44
1945-04-13	15.56
1945-04-14	17.78
1945-04-15	17.78
1945-04-16	18.89
1945-04-17	20.00
1945-04-18	21.11
1945-04-19	18.89
1945-04-20	17.22
1945-04-21	12.22
1945-04-22	10.00
1945-04-23	7.78
1945-04-24	10.00
1945-04-25	14.44
1945-04-26	13.33
1945-04-27	10.56
1945-04-28	6.67
1945-04-29	7.22
