Id	Sepal Length (cm)	Sepal Width (cm)	Petal Length (cm)	Petal Width (cm)	Species
1	5.1	3.5	1.4	0.2	Iris Setosa
2	4.9	3.0	1.4	0.2	Iris Setosa
3	4.7	3.2	1.3	0.2	Iris Setosa
4	4.6	3.1	1.5	0.2	Iris Setosa
5	5.0	3.6	1.4	0.2	Iris Setosa
6	5.4	3.9	1.7	0.4	Iris Setosa
7	4.6	3.4	1.4	0.3	Iris Setosa
8	5.0	3.4	1.5	0.2	Iris Setosa
9	4.4	2.9	1.4	0.2	Iris Setosa
10	4.9	3.1	1.5	0.1	Iris Setosa
11	5.4	3.7	1.5	0.2	Iris Setosa
12	4.8	3.4	1.6	0.2	Iris Setosa
13	4.8	3.0	1.4	0.1	Iris Setosa
14	4.3	3.0	1.1	0.1	Iris Setosa
15	5.8	4.0	1.2	0.2	Iris Setosa
16	5.7	4.4	1.5	0.4	Iris Setosa
17	5.4	3.9	1.3	0.4	Iris Setosa
18	5.1	3.5	1.4	0.3	Iris Setosa
19	5.7	3.8	1.7	0.3	Iris Setosa
20	5.1	3.8	1.5	0.3	Iris Setosa
21	5.4	3.4	1.7	0.2	Iris Setosa
22	5.1	3.7	1.5	0.4	Iris Setosa
23	4.6	3.6	1.0	0.2	Iris Setosa
24	5.1	3.3	1.7	0.5	Iris Setosa
25	4.8	3.4	1.9	0.2	Iris Setosa
26	5.0	3.0	1.6	0.2	Iris Setosa
27	5.0	3.4	1.6	0.4	Iris Setosa
28	5.2	3.5	1.5	0.2	Iris Setosa
29	5.2	3.4	1.4	0.2	Iris Setosa
30	4.7	3.2	1.6	0.2	Iris Setosa
31	4.8	3.1	1.6	0.2	Iris Setosa
32	5.4	3.4	1.5	0.4	Iris Setosa
33	5.2	4.1	1.5	0.1	Iris Setosa
34	5.5	4.2	1.4	0.2	Iris Setosa
35	4.9	3.1	1.5	0.1	Iris Setosa
36	5.0	3.2	1.2	0.2	Iris Setosa
37	5.5	3.5	1.3	0.2	Iris Setosa
38	4.9	3.1	1.5	0.1	Iris Setosa
39	4.4	3.0	1.3	0.2	Iris Setosa
40	5.1	3.4	1.5	0.2	Iris Setosa
41	5.0	3.5	1.3	0.3	Iris Setosa
42	4.5	2.3	1.3	0.3	Iris Setosa
43	4.4	3.2	1.3	0.2	Iris Setosa
44	5.0	3.5	1.6	0.6	Iris Setosa
45	5.1	3.8	1.9	0.4	Iris Setosa
46	4.8	3.0	1.4	0.3	Iris Setosa
47	5.1	3.8	1.6	0.2	Iris Setosa
48	4.6	3.2	1.4	0.2	Iris Setosa
49	5.3	3.7	1.5	0.2	Iris Setosa
50	5.0	3.3	1.4	0.2	Iris Setosa
51	7.0	3.2	4.7	1.4	Iris Versicolor
52	6.4	3.2	4.5	1.5	Iris Versicolor
53	6.9	3.1	4.9	1.5	Iris Versicolor
54	5.5	2.3	4.0	1.3	Iris Versicolor
55	6.5	2.8	4.6	1.5	Iris Versicolor
56	5.7	2.8	4.5	1.3	Iris Versicolor
57	6.3	3.3	4.7	1.6	Iris Versicolor
58	4.9	2.4	3.3	1.0	Iris Versicolor
59	6.6	2.9	4.6	1.3	Iris Versicolor
60	5.2	2.7	3.9	1.4	Iris Versicolor
61	5.0	2.0	3.5	1.0	Iris Versicolor
62	5.9	3.0	4.2	1.5	Iris Versicolor
63	6.0	2.2	4.0	1.0	Iris Versicolor
64	6.1	2.9	4.7	1.4	Iris Versicolor
65	5.6	2.9	3.6	1.3	Iris Versicolor
66	6.7	3.1	4.4	1.4	Iris Versicolor
67	5.6	3.0	4.5	1.5	Iris Versicolor
68	5.8	2.7	4.1	1.0	Iris Versicolor
69	6.2	2.2	4.5	1.5	Iris Versicolor
70	5.6	2.5	3.9	1.1	Iris Versicolor
71	5.9	3.2	4.8	1.8	Iris Versicolor
72	6.1	2.8	4.0	1.3	Iris Versicolor
73	6.3	2.5	4.9	1.5	Iris Versicolor
74	6.1	2.8	4.7	1.2	Iris Versicolor
75	6.4	2.9	4.3	1.3	Iris Versicolor
76	6.6	3.0	4.4	1.4	Iris Versicolor
77	6.8	2.8	4.8	1.4	Iris Versicolor
78	6.7	3.0	5.0	1.7	Iris Versicolor
