Family	Subfamily	Genus	Subspecies	Name	Risk of Extinction
Felidae	Acinonychinae	Acinonyx	Acinonyx jubatus	cheetah	4
Felidae	Felinae	Catopuma	Catopuma badia	bay cat	5
Felidae	Felinae	Catopuma	Catopuma temminckii	Asiatic golden cat	3
Felidae	Felinae	Felis	Felis catus	domestic cat	1
Felidae	Felinae	Felis	Felis chaus	jungle cat	2
Felidae	Felinae	Felis	Felis margarita	sand cat	2
Felidae	Felinae	Felis	Felis nigripes	black-footed cat	4
Felidae	Felinae	Felis	Felis silvestris	wild cat	1
Felidae	Felinae	Leopardus	Leopardus colocolo	Colocolo	3
Felidae	Felinae	Leopardus	Leopardus geoffroyi	Geoffroy's cat	2
Felidae	Felinae	Leopardus	Leopardus guigna	Kodkod	4
Felidae	Felinae	Leopardus	Leopardus guttulus	Southern oncilla	4
Felidae	Felinae	Leopardus	Leopardus jacobita	Andean mountain cat	5
Felidae	Felinae	Leopardus	Leopardus pardalis	ocelot	2
Felidae	Felinae	Leopardus	Leopardus tigrinus	little spotted cat	4
Felidae	Felinae	Leopardus	Leopardus wiedii	margay	3
Felidae	Felinae	Leptailurus	Leptailurus serval	serval	2
Felidae	Felinae	Lynx	Lynx canadensis	Canada lynx	2
Felidae	Felinae	Lynx	Lynx lynx	Eurasian lynx	2
Felidae	Felinae	Lynx	Lynx pardinus	Spanish lynx	5
Felidae	Felinae	Lynx	Lynx rufus	bobcat	2
Felidae	Felinae	Otocolobus	Otocolobus manul	Pallas's cat	2
Felidae	Felinae	Prionailurus	Prionailurus bengalensis	leopard cat	2
Felidae	Felinae	Prionailurus	Prionailurus iriomotensis	Iriomote cat	6
Felidae	Felinae	Prionailurus	Prionailurus planiceps	flat-headed cat	5
Felidae	Felinae	Prionailurus	Prionailurus rubiginosus	rusty-spotted cat	3
Felidae	Felinae	Prionailurus	Prionailurus viverrinus	fishing cat	4
Felidae	Felinae	Profelis	Profelis aurata	African golden cat	4
Felidae	Felinae	Puma	Puma concolor	puma	2
Felidae	Felinae	Puma	Puma yagouaroundi	jaguarundi	2
Felidae	Pantherinae	Neofelis	Neofelis diardi	Sunda clouded leopard	4
Felidae	Pantherinae	Neofelis	Neofelis nebulosa	Clouded leopard	4
Felidae	Pantherinae	Panthera	Panthera leo	lion	4
Felidae	Pantherinae	Panthera	Panthera onca	jaguar	3
Felidae	Pantherinae	Panthera	Panthera pardus	leopard	4
Felidae	Pantherinae	Panthera	Panthera tigris	tiger	5
Felidae	Pantherinae	Panthera	Panthera uncia	snow leopard	4
Felidae	Pantherinae	Pardofelis	Pardofelis marmorata	marbled cat	3
