Action type	Shot type	Shot zone	Shot distance	X	Y	SHOT_MADE_FLAG
Running Dunk Shot	2PT Field Goal	Restricted Area	1	7	8	1
Running Dunk Shot	2PT Field Goal	Restricted Area	1	1	11	1
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	-4	61	0
Running Layup Shot	2PT Field Goal	Restricted Area	0	-4	6	1
Putback Layup Shot	2PT Field Goal	Restricted Area	1	12	3	1
Putback Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-5	21	0
Turnaround Hook Shot	2PT Field Goal	In The Paint (Non-RA)	8	28	78	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-128	225	0
Layup Shot	2PT Field Goal	Restricted Area	1	12	10	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	27	-149	236	0
Jump Shot	3PT Field Goal	Above the Break 3	27	-68	264	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	-12	4	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	15	2	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	25	-85	241	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	8	18	1
Pullup Jump shot	2PT Field Goal	Mid-Range	17	43	168	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-135	221	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	2	16	14	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-5	13	1
Running Layup Shot	2PT Field Goal	Restricted Area	0	2	3	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	6	21	0
Layup Shot	2PT Field Goal	Restricted Area	1	-6	11	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	8	17	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	27	180	203	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	0	13	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	26	262	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-147	206	0
Running Layup Shot	2PT Field Goal	Restricted Area	2	4	21	1
Cutting Layup Shot	2PT Field Goal	Restricted Area	2	-2	23	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	18	-95	155	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	26	-12	268	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	15	18	1
Jump Shot	3PT Field Goal	Left Corner 3	24	-244	29	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-3	27	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	24	114	221	0
Hook Shot	2PT Field Goal	In The Paint (Non-RA)	5	-5	52	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	5	31	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-11	27	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-13	7	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-198	155	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-103	237	0
Running Layup Shot	2PT Field Goal	Restricted Area	3	-6	31	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	5	15	0
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	-13	39	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-13	25	1
Jump Shot	2PT Field Goal	Mid-Range	18	137	126	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	0	3	-2	1
Pullup Jump shot	2PT Field Goal	Mid-Range	21	106	183	1
Jump Shot	3PT Field Goal	Above the Break 3	24	-125	210	0
Jump Shot	3PT Field Goal	Above the Break 3	26	174	195	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-8	21	0
Jump Shot	2PT Field Goal	Mid-Range	17	-19	169	1
Jump Shot	3PT Field Goal	Above the Break 3	25	138	214	0
Running Layup Shot	2PT Field Goal	Restricted Area	3	19	25	1
Jump Shot	2PT Field Goal	Mid-Range	15	-98	117	0
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	27	148	237	1
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	-25	110	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-2	26	0
Jump Shot	3PT Field Goal	Left Corner 3	22	-228	25	0
Floating Jump shot	2PT Field Goal	Restricted Area	2	3	26	0
Driving Floating Jump Shot	2PT Field Goal	Restricted Area	3	9	32	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	-169	188	0
Jump Shot	3PT Field Goal	Above the Break 3	24	-41	246	1
Running Layup Shot	2PT Field Goal	Restricted Area	0	7	0	0
Alley Oop Layup shot	2PT Field Goal	Restricted Area	0	7	-1	1
Running Pull-Up Jump Shot	2PT Field Goal	Mid-Range	15	105	113	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	-216	113	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	14	144	-12	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	0	1	8	0
Running Layup Shot	2PT Field Goal	Restricted Area	0	-6	5	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-4	4	1
Layup Shot	2PT Field Goal	Restricted Area	0	3	6	1
Jump Shot	3PT Field Goal	Above the Break 3	32	185	269	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-148	212	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	6	6	0
Pullup Jump shot	2PT Field Goal	Mid-Range	15	-100	122	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	-202	165	0
Pullup Jump shot	2PT Field Goal	Mid-Range	17	114	130	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	12	15	1
Jump Shot	3PT Field Goal	Above the Break 3	30	-62	294	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	0	-3	8	1
Step Back Jump shot	3PT Field Goal	Left Corner 3	22	-228	-5	0
Running Dunk Shot	2PT Field Goal	Restricted Area	2	7	19	1
Layup Shot	2PT Field Goal	Restricted Area	1	7	8	1
