year	state	state_po	state_fips	state_cen	state_ic	office	candidate	party	main parties	writein	candidatevotes	totalvotes	version
1976	Alabama	AL	1	63	41	US President	Carter, Jimmy	democrat	democrat	FALSE	659170	1182850	20171015
1980	Alabama	AL	1	63	41	US President	Carter, Jimmy	democrat	democrat	FALSE	636730	1341929	20171015
1984	Alabama	AL	1	63	41	US President	Mondale, Walter	democrat	democrat	FALSE	551899	1441713	20171015
1988	Alabama	AL	1	63	41	US President	Dukakis, Michael	democrat	democrat	FALSE	549506	1378476	20171015
1992	Alabama	AL	1	63	41	US President	Clinton, Bill	democrat	democrat	FALSE	690080	1688060	20171015
1996	Alabama	AL	1	63	41	US President	Clinton, Bill	democrat	democrat	FALSE	662165	1534349	20171015
2000	Alabama	AL	1	63	41	US President	Gore, Al	democrat	democrat	FALSE	692611	1666272	20171015
2004	Alabama	AL	1	63	41	US President	Kerry, John	democrat	democrat	FALSE	693933	1883415	20171015
2008	Alabama	AL	1	63	41	US President	Obama, Barack H.	democrat	democrat	FALSE	813479	2099819	20171015
2012	Alabama	AL	1	63	41	US President	Obama, Barack H.	democrat	democrat	FALSE	795696	2074338	20171015
2016	Alabama	AL	1	63	41	US President	Clinton, Hillary	democrat	democrat	FALSE	729547	2123372	20171015
1976	Alabama	AL	1	63	41	US President	Ford, Gerald	republican	republican	FALSE	504070	1182850	20171015
1980	Alabama	AL	1	63	41	US President	Reagan, Ronald	republican	republican	FALSE	654192	1341929	20171015
1984	Alabama	AL	1	63	41	US President	Reagan, Ronald	republican	republican	FALSE	872849	1441713	20171015
1988	Alabama	AL	1	63	41	US President	Bush, George H.W.	republican	republican	FALSE	815576	1378476	20171015
1992	Alabama	AL	1	63	41	US President	Bush, George H.W.	republican	republican	FALSE	804283	1688060	20171015
1996	Alabama	AL	1	63	41	US President	Dole, Robert	republican	republican	FALSE	769044	1534349	20171015
2000	Alabama	AL	1	63	41	US President	Bush, George W.	republican	republican	FALSE	941173	1666272	20171015
2004	Alabama	AL	1	63	41	US President	Bush, George W.	republican	republican	FALSE	1176394	1883415	20171015
2008	Alabama	AL	1	63	41	US President	McCain, John	republican	republican	FALSE	1266546	2099819	20171015
2012	Alabama	AL	1	63	41	US President	Romney, Mitt	republican	republican	FALSE	1255925	2074338	20171015
2016	Alabama	AL	1	63	41	US President	Trump, Donald J.	republican	republican	FALSE	1318255	2123372	20171015
1976	Alabama	AL	1	63	41	US President	Maddox, Lester	american independent party	other	FALSE	9198	1182850	20171015
1976	Alabama	AL	1	63	41	US President	Bubar, Benjamin \\"Ben\"\""	prohibition	other	FALSE	6669	1182850	20171015
1976	Alabama	AL	1	63	41	US President	Hall, Gus	communist party use	other	FALSE	1954	1182850	20171015
1976	Alabama	AL	1	63	41	US President	Macbride, Roger	libertarian	other	FALSE	1481	1182850	20171015
1976	Alabama	AL	1	63	41	US President			other	TRUE	308	1182850	20171015
1980	Alabama	AL	1	63	41	US President	Anderson, John B.	independent	other	FALSE	16481	1341929	20171015
1980	Alabama	AL	1	63	41	US President	Rarick, John	conservative	other	FALSE	15010	1341929	20171015
1980	Alabama	AL	1	63	41	US President	Clark, Edward \\"Ed\"\""	libertarian	other	FALSE	13318	1341929	20171015
1980	Alabama	AL	1	63	41	US President	Bubar, Benjamin \\"Ben\"\""	statesman	other	FALSE	1743	1341929	20171015
1980	Alabama	AL	1	63	41	US President	Hall, Gus	communist party use	other	FALSE	1629	1341929	20171015
1980	Alabama	AL	1	63	41	US President	Deberry, Clifton	socialist workers	other	FALSE	1303	1341929	20171015
1980	Alabama	AL	1	63	41	US President	McReynolds, David	socialist	other	FALSE	1006	1341929	20171015
1980	Alabama	AL	1	63	41	US President	Commoner, Barry	citizens	other	FALSE	517	1341929	20171015
1984	Alabama	AL	1	63	41	US President	Bergland, David	libertarian	other	FALSE	9504	1441713	20171015
1984	Alabama	AL	1	63	41	US President	Hall, Gus	communist party use	other	FALSE	4671	1441713	20171015
1984	Alabama	AL	1	63	41	US President	Richards, Bob	populist	other	FALSE	1401	1441713	20171015
1984	Alabama	AL	1	63	41	US President	Mason, Melvin	socialist workers	other	FALSE	730	1441713	20171015
1984	Alabama	AL	1	63	41	US President	Serrette, Dennis	alliance	other	FALSE	659	1441713	20171015
1988	Alabama	AL	1	63	41	US President	Paul, Ronald \\"Ron\"\""	libertarian	other	FALSE	8460	1378476	20171015
1988	Alabama	AL	1	63	41	US President	Winn, Edward	independent	other	FALSE	4428	1378476	20171015
1988	Alabama	AL	1	63	41	US President			other	TRUE	506	1378476	20171015
1992	Alabama	AL	1	63	41	US President	Perot, Ross	independent	other	FALSE	183109	1688060	20171015
1992	Alabama	AL	1	63	41	US President	Marrou, Andre	libertarian	other	FALSE	5737	1688060	20171015
1992	Alabama	AL	1	63	41	US President	Other	independent	other	FALSE	4128	1688060	20171015
1992	Alabama	AL	1	63	41	US President			other	TRUE	723	1688060	20171015
1996	Alabama	AL	1	63	41	US President		independent	other	FALSE	95030	1534349	20171015
1996	Alabama	AL	1	63	41	US President	Browne, Harry	libertarian	other	FALSE	5290	1534349	20171015
1996	Alabama	AL	1	63	41	US President	Hagelin, John	natural law	other	FALSE	1697	1534349	20171015
1996	Alabama	AL	1	63	41	US President			other	TRUE	1123	1534349	20171015
2000	Alabama	AL	1	63	41	US President		independent	other	FALSE	25896	1666272	20171015
2000	Alabama	AL	1	63	41	US President	Browne, Harry	libertarian	other	FALSE	5893	1666272	20171015
2000	Alabama	AL	1	63	41	US President			other	TRUE	699	1666272	20171015
2004	Alabama	AL	1	63	41	US President	Other	independent	other	FALSE	12190	1883415	20171015
2004	Alabama	AL	1	63	41	US President	Other		other	TRUE	898	1883415	20171015
2008	Alabama	AL	1	63	41	US President		independent	other	FALSE	16089	2099819	20171015
2008	Alabama	AL	1	63	41	US President			other	TRUE	3705	2099819	20171015
2012	Alabama	AL	1	63	41	US President		independent	other	FALSE	18706	2074338	20171015
2012	Alabama	AL	1	63	41	US President			other	TRUE	4011	2074338	20171015
2016	Alabama	AL	1	63	41	US President	Johnson, Gary	libertarian	other	FALSE	44467	2123372	20171015
2016	Alabama	AL	1	63	41	US President			other	TRUE	21712	2123372	20171015
2016	Alabama	AL	1	63	41	US President	Stein, Jill	green	other	FALSE	9391	2123372	20171015
1976	Alaska	AK	2	94	81	US President	Carter, Jimmy	democrat	democrat	FALSE	44058	123574	20171015
1980	Alaska	AK	2	94	81	US President	Carter, Jimmy	democrat	democrat	FALSE	41842	158445	20171015
1984	Alaska	AK	2	94	81	US President	Mondale, Walter	democrat	democrat	FALSE	62007	207605	20171015
1988	Alaska	AK	2	94	81	US President	Dukakis, Michael	democrat	democrat	FALSE	72584	200116	20171015
1992	Alaska	AK	2	94	81	US President	Clinton, Bill	democrat	democrat	FALSE	78294	258506	20171015
1996	Alaska	AK	2	94	81	US President	Clinton, Bill	democrat	democrat	FALSE	80380	241620	20171015
2000	Alaska	AK	2	94	81	US President	Gore, Al	democrat	democrat	FALSE	79004	285560	20171015
2004	Alaska	AK	2	94	81	US President	Kerry, John	democrat	democrat	FALSE	111025	312598	20171015
2008	Alaska	AK	2	94	81	US President	Obama, Barack H.	democrat	democrat	FALSE	123594	326197	20171015
2012	Alaska	AK	2	94	81	US President	Obama, Barack H.	democrat	democrat	FALSE	122640	300495	20171015
2016	Alaska	AK	2	94	81	US President	Clinton, Hillary	democrat	democrat	FALSE	116454	318608	20171015
1976	Alaska	AK	2	94	81	US President	Ford, Gerald	republican	republican	FALSE	71555	123574	20171015
1980	Alaska	AK	2	94	81	US President	Reagan, Ronald	republican	republican	FALSE	86112	158445	20171015
1984	Alaska	AK	2	94	81	US President	Reagan, Ronald	republican	republican	FALSE	138377	207605	20171015
1988	Alaska	AK	2	94	81	US President	Bush, George H.W.	republican	republican	FALSE	119251	200116	20171015
1992	Alaska	AK	2	94	81	US President	Bush, George H.W.	republican	republican	FALSE	102000	258506	20171015
1996	Alaska	AK	2	94	81	US President	Dole, Robert	republican	republican	FALSE	122746	241620	20171015
2000	Alaska	AK	2	94	81	US President	Bush, George W.	republican	republican	FALSE	167398	285560	20171015
2004	Alaska	AK	2	94	81	US President	Bush, George W.	republican	republican	FALSE	190889	312598	20171015
2008	Alaska	AK	2	94	81	US President	McCain, John	republican	republican	FALSE	193841	326197	20171015
2012	Alaska	AK	2	94	81	US President	Romney, Mitt	republican	republican	FALSE	164676	300495	20171015
2016	Alaska	AK	2	94	81	US President	Trump, Donald J.	republican	republican	FALSE	163387	318608	20171015
1976	Alaska	AK	2	94	81	US President	Macbride, Roger	libertarian	other	FALSE	6785	123574	20171015
1976	Alaska	AK	2	94	81	US President			other	TRUE	1176	123574	20171015
1980	Alaska	AK	2	94	81	US President	Clark, Edward \\"Ed\"\""	libertarian	other	FALSE	18479	158445	20171015
1980	Alaska	AK	2	94	81	US President	Anderson, John B.	independent	other	FALSE	11155	158445	20171015
1980	Alaska	AK	2	94	81	US President			other	TRUE	857	158445	20171015
1984	Alaska	AK	2	94	81	US President	Bergland, David	libertarian	other	FALSE	6378	207605	20171015
1984	Alaska	AK	2	94	81	US President	Other		other	FALSE	843	207605	20171015
1988	Alaska	AK	2	94	81	US President	Paul, Ronald \\"Ron\"\""	libertarian	other	FALSE	5484	200116	20171015
1988	Alaska	AK	2	94	81	US President	Fulani, Lenora	new alliance	other	FALSE	1024	200116	20171015
1988	Alaska	AK	2	94	81	US President			other	TRUE	957	200116	20171015
1988	Alaska	AK	2	94	81	US President	Larouche, Lyndon, Jr.	national economic recovery	other	FALSE	816	200116	20171015
1992	Alaska	AK	2	94	81	US President	Perot, Ross	independent	other	FALSE	73481	258506	20171015
1992	Alaska	AK	2	94	81	US President	Gritz, James \\"Bo\"\""	america first	other	FALSE	1379	258506	20171015
1992	Alaska	AK	2	94	81	US President	Marrou, Andre	libertarian	other	FALSE	1378	258506	20171015
1992	Alaska	AK	2	94	81	US President	Larouche, Lyndon, Jr.	independents for economic recovery	other	FALSE	469	258506	20171015
1992	Alaska	AK	2	94	81	US President	Hagelin, John	natural law	other	FALSE	433	258506	20171015
1992	Alaska	AK	2	94	81	US President	Phillips, Howard	taxpayers party	other	FALSE	377	258506	20171015
1992	Alaska	AK	2	94	81	US President			other	TRUE	365	258506	20171015
1992	Alaska	AK	2	94	81	US President	Fulani, Lenora	new alliance	other	FALSE	330	258506	20171015
1996	Alaska	AK	2	94	81	US President	Perot, Ross	reform party	other	FALSE	26333	241620	20171015
1996	Alaska	AK	2	94	81	US President	Nader, Ralph	green	other	FALSE	7597	241620	20171015
1996	Alaska	AK	2	94	81	US President	Browne, Harry	libertarian	other	FALSE	2276	241620	20171015
1996	Alaska	AK	2	94	81	US President	Phillips, Howard	u.s. taxpayers party	other	FALSE	925	241620	20171015
1996	Alaska	AK	2	94	81	US President	Hagelin, John	natural law	other	FALSE	729	241620	20171015
1996	Alaska	AK	2	94	81	US President			other	TRUE	634	241620	20171015
2000	Alaska	AK	2	94	81	US President	Nader, Ralph	green	other	FALSE	28747	285560	20171015
2000	Alaska	AK	2	94	81	US President	Buchanan, Patrick \\"Pat\"\""	reform party	other	FALSE	5192	285560	20171015
2000	Alaska	AK	2	94	81	US President	Browne, Harry	libertarian	other	FALSE	2636	285560	20171015
2000	Alaska	AK	2	94	81	US President			other	TRUE	1068	285560	20171015
2000	Alaska	AK	2	94	81	US President	Hagelin, John	natural law	other	FALSE	919	285560	20171015
2000	Alaska	AK	2	94	81	US President	Phillips, Howard	constitution party	other	FALSE	596	285560	20171015
2004	Alaska	AK	2	94	81	US President	Nader, Ralph	populist	other	FALSE	5069	312598	20171015
2004	Alaska	AK	2	94	81	US President	Peroutka, Michael	alaskan independence party	other	FALSE	2092	312598	20171015
2004	Alaska	AK	2	94	81	US President	Badnarik, Michael	libertarian	other	FALSE	1675	312598	20171015
2004	Alaska	AK	2	94	81	US President	Cobb, David	green	other	FALSE	1058	312598	20171015
2004	Alaska	AK	2	94	81	US President	Other		other	TRUE	790	312598	20171015
2008	Alaska	AK	2	94	81	US President	Nader, Ralph	independent	other	FALSE	3783	326197	20171015
2008	Alaska	AK	2	94	81	US President			other	TRUE	1730	326197	20171015
2008	Alaska	AK	2	94	81	US President	Baldwin, Charles \\"Chuck\"\""	alaskan independence party	other	FALSE	1660	326197	20171015
2008	Alaska	AK	2	94	81	US President	Barr, Bob	libertarian	other	FALSE	1589	326197	20171015
2012	Alaska	AK	2	94	81	US President	Johnson, Gary	libertarian	other	FALSE	7392	300495	20171015
2012	Alaska	AK	2	94	81	US President	Stein, Jill	green	other	FALSE	2917	300495	20171015
2012	Alaska	AK	2	94	81	US President			other	TRUE	2870	300495	20171015
2016	Alaska	AK	2	94	81	US President	Johnson, Gary	libertarian	other	FALSE	18725	318608	20171015
2016	Alaska	AK	2	94	81	US President			other	TRUE	9201	318608	20171015
2016	Alaska	AK	2	94	81	US President	Stein, Jill	green	other	FALSE	5735	318608	20171015
2016	Alaska	AK	2	94	81	US President	Castle, Darrell L.	constitution party	other	FALSE	3866	318608	20171015
2016	Alaska	AK	2	94	81	US President	De La Fuente, Roque \\"Rocky\"\""	no party affiliation	other	FALSE	1240	318608	20171015
1976	Arizona	AZ	4	86	61	US President	Carter, Jimmy	democrat	democrat	FALSE	295602	742719	20171015
1980	Arizona	AZ	4	86	61	US President	Carter, Jimmy	democrat	democrat	FALSE	246843	873945	20171015
1984	Arizona	AZ	4	86	61	US President	Mondale, Walter	democrat	democrat	FALSE	333854	1025897	20171015
1988	Arizona	AZ	4	86	61	US President	Dukakis, Michael	democrat	democrat	FALSE	454029	1171873	20171015
1992	Arizona	AZ	4	86	61	US President	Clinton, Bill	democrat	democrat	FALSE	543050	1486975	20171015
1996	Arizona	AZ	4	86	61	US President	Clinton, Bill	democrat	democrat	FALSE	653288	1404405	20171015
2000	Arizona	AZ	4	86	61	US President	Gore, Al	democrat	democrat	FALSE	685341	1532016	20171015
2004	Arizona	AZ	4	86	61	US President	Kerry, John	democrat	democrat	FALSE	893524	2012585	20171015
