Letter	Language	Frequency (%)
a	Czech	8.42
e	Czech	7.56
o	Czech	6.7
n	Czech	6.47
i	Czech	6.07
t	Czech	5.73
v	Czech	5.34
s	Czech	5.21
r	Czech	4.8
l	Czech	3.8
d	Czech	3.48
k	Czech	2.89
m	Czech	2.45
u	Czech	2.16
p	Czech	1.91
z	Czech	1.5
j	Czech	1.43
h	Czech	1.36
y	Czech	1.04
b	Czech	0.82
c	Czech	0.74
g	Czech	0.09
f	Czech	0.08
x	Czech	0.03
w	Czech	0.02
q	Czech	0
e	Danish	15.45
r	Danish	8.96
n	Danish	7.24
t	Danish	6.86
a	Danish	6.03
i	Danish	6
d	Danish	5.86
s	Danish	5.81
l	Danish	5.23
o	Danish	4.64
g	Danish	4.08
k	Danish	3.4
m	Danish	3.24
f	Danish	2.41
v	Danish	2.33
b	Danish	2
u	Danish	1.98
p	Danish	1.76
h	Danish	1.62
j	Danish	0.73
y	Danish	0.7
c	Danish	0.57
w	Danish	0.07
x	Danish	0.03
z	Danish	0.03
q	Danish	0.01
e	Dutch	18.91
n	Dutch	10.03
a	Dutch	7.49
t	Dutch	6.79
i	Dutch	6.5
r	Dutch	6.41
o	Dutch	6.06
d	Dutch	5.93
s	Dutch	3.73
l	Dutch	3.57
g	Dutch	3.4
v	Dutch	2.85
h	Dutch	2.38
k	Dutch	2.25
m	Dutch	2.21
u	Dutch	1.99
b	Dutch	1.58
p	Dutch	1.57
w	Dutch	1.52
j	Dutch	1.46
z	Dutch	1.39
c	Dutch	1.24
f	Dutch	0.81
x	Dutch	0.04
y	Dutch	0.04
q	Dutch	0.01
e	English	12.7
t	English	9.06
a	English	8.17
o	English	7.51
i	English	6.97
n	English	6.75
s	English	6.33
h	English	6.09
r	English	5.99
d	English	4.25
l	English	4.03
c	English	2.78
u	English	2.76
m	English	2.41
w	English	2.36
f	English	2.23
g	English	2.02
y	English	1.97
p	English	1.93
b	English	1.49
v	English	0.98
k	English	0.77
j	English	0.15
x	English	0.15
q	English	0.1
z	English	0.07
a	Esperanto	12.12
i	Esperanto	10.01
e	Esperanto	9
o	Esperanto	8.78
n	Esperanto	7.96
l	Esperanto	6.1
s	Esperanto	6.09
r	Esperanto	5.91
t	Esperanto	5.28
k	Esperanto	4.16
j	Esperanto	3.5
u	Esperanto	3.18
d	Esperanto	3.04
m	Esperanto	2.99
p	Esperanto	2.76
v	Esperanto	1.9
g	Esperanto	1.17
f	Esperanto	1.04
b	Esperanto	0.98
c	Esperanto	0.78
z	Esperanto	0.49
h	Esperanto	0.38
q	Esperanto	0
w	Esperanto	0
x	Esperanto	0
y	Esperanto	0
a	Finnish	12.22
i	Finnish	10.82
n	Finnish	8.83
t	Finnish	8.75
e	Finnish	7.97
s	Finnish	7.86
l	Finnish	5.76
o	Finnish	5.61
u	Finnish	5.01
k	Finnish	4.97
m	Finnish	3.2
r	Finnish	2.87
v	Finnish	2.25
j	Finnish	2.04
h	Finnish	1.85
p	Finnish	1.84
y	Finnish	1.75
d	Finnish	1.04
g	Finnish	0.39
b	Finnish	0.28
c	Finnish	0.28
f	Finnish	0.19
w	Finnish	0.09
z	Finnish	0.05
x	Finnish	0.03
q	Finnish	0.01
e	French	14.72
s	French	7.95
a	French	7.64
i	French	7.53
t	French	7.24
n	French	7.1
r	French	6.69
u	French	6.31
o	French	5.8
l	French	5.46
d	French	3.67
c	French	3.26
m	French	2.97
p	French	2.52
v	French	1.84
q	French	1.36
f	French	1.07
b	French	0.90
g	French	0.87
h	French	0.74
j	French	0.61
x	French	0.43
z	French	0.33
y	French	0.13
k	French	0.07
w	French	0.05
e	German	16.4
n	German	9.78
s	German	7.27
r	German	7
i	German	6.55
a	German	6.52
