Teams	2018-2020	2019-2020	Difference	Status	Championship
Lazio	59	78	19	Better	Seria A
Burnley	40	54	14	Better	Premier League
Inter	69	82	13	Better	Seria A
Southampton	39	52	13	Better	Premier League
Leicester City	52	62	10	Better	Premier League
Atalanta	69	78	9	Better	Seria A
Fiorentina	41	49	8	Better	Seria A
Parma	41	49	8	Better	Seria A
Sassuolo	43	51	8	Better	Seria A
Brighton	36	41	5	Better	Premier League
Cagliari	41	45	4	Better	Seria A
Roma	66	70	4	Better	Seria A
Bologna	44	47	3	Better	Seria A
Udinese	43	45	2	Better	Seria A
Liverpool	97	99	2	Better	Premier League
Wolverhampton	57	59	2	Better	Premier League
Genoa	38	39	1	Better	Seria A
Manchester Utd	66	66	0	Same	Premier League
Newcastle Utd	45	44	-1	Worse	Premier League
Milan	68	66	-2	Worse	Seria A
Everton	54	49	-5	Worse	Premier League
Chelsea	72	66	-6	Worse	Premier League
Crystal Palace	49	43	-6	Worse	Premier League
Juventus	90	83	-7	Worse	Seria A
Sampdoria	53	42	-11	Worse	Seria A
Bournemouth	45	34	-11	Worse	Premier League
Tottenham	71	59	-12	Worse	Premier League
West Ham	52	39	-13	Worse	Premier League
Arsenal	70	56	-14	Worse	Premier League
Watford	50	34	-16	Worse	Premier League
Napoli	79	62	-17	Worse	Seria A
Manchester City	98	81	-17	Worse	Premier League
SPAL	42	20	-22	Worse	Seria A
Torino	63	40	-23	Worse	Seria A
