Year	Macroarea	Country	Medals
2008	South Asia	Afghanistan	1
2012	South Asia	Afghanistan	1
1984	North Africa	Algeria	2
1992	North Africa	Algeria	2
1996	North Africa	Algeria	3
2000	North Africa	Algeria	5
2008	North Africa	Algeria	2
2012	North Africa	Algeria	1
1924	Latin America and the Caribbean	Argentina	11
1928	Latin America and the Caribbean	Argentina	32
1932	Latin America and the Caribbean	Argentina	4
1936	Latin America and the Caribbean	Argentina	11
1948	Latin America and the Caribbean	Argentina	12
1952	Latin America and the Caribbean	Argentina	6
1956	Latin America and the Caribbean	Argentina	2
1960	Latin America and the Caribbean	Argentina	4
1964	Latin America and the Caribbean	Argentina	1
1968	Latin America and the Caribbean	Argentina	2
1972	Latin America and the Caribbean	Argentina	1
1988	Latin America and the Caribbean	Argentina	13
1992	Latin America and the Caribbean	Argentina	2
1996	Latin America and the Caribbean	Argentina	20
2000	Latin America and the Caribbean	Argentina	20
2004	Latin America and the Caribbean	Argentina	47
2008	Latin America and the Caribbean	Argentina	51
2012	Latin America and the Caribbean	Argentina	20
1996	Western Asia	Armenia	2
2000	Western Asia	Armenia	1
2008	Western Asia	Armenia	6
2012	Western Asia	Armenia	2
1908	Australasia	Australasia	19
1912	Australasia	Australasia	10
1896	Australasia	Australia	2
1900	Australasia	Australia	5
1920	Australasia	Australia	6
1924	Australasia	Australia	10
1928	Australasia	Australia	4
1932	Australasia	Australia	5
1936	Australasia	Australia	1
1948	Australasia	Australia	16
1952	Australasia	Australia	20
1956	Australasia	Australia	61
1960	Australasia	Australia	36
1964	Australasia	Australia	42
1968	Australasia	Australia	49
1972	Australasia	Australia	20
1976	Australasia	Australia	24
1980	Australasia	Australia	12
1984	Australasia	Australia	50
1988	Australasia	Australia	34
1992	Australasia	Australia	57
1996	Australasia	Australia	132
2000	Australasia	Australia	183
2004	Australasia	Australia	157
2008	Australasia	Australia	149
2012	Australasia	Australia	114
1896	Western Europe	Austria	5
1900	Western Europe	Austria	6
1904	Western Europe	Austria	1
1908	Western Europe	Austria	1
1912	Western Europe	Austria	14
1924	Western Europe	Austria	4
1928	Western Europe	Austria	4
1932	Western Europe	Austria	5
1936	Western Europe	Austria	50
1948	Western Europe	Austria	4
1952	Western Europe	Austria	3
1956	Western Europe	Austria	4
1960	Western Europe	Austria	3
1968	Western Europe	Austria	5
1972	Western Europe	Austria	3
1976	Western Europe	Austria	1
1980	Western Europe	Austria	5
1984	Western Europe	Austria	3
1988	Western Europe	Austria	1
1992	Western Europe	Austria	6
1996	Western Europe	Austria	3
2000	Western Europe	Austria	4
2004	Western Europe	Austria	8
2008	Western Europe	Austria	3
1996	Western Asia	Azerbaijan	1
2000	Western Asia	Azerbaijan	3
2004	Western Asia	Azerbaijan	5
2008	Western Asia	Azerbaijan	7
2012	Western Asia	Azerbaijan	10
1956	Latin America and the Caribbean	Bahamas	2
1964	Latin America and the Caribbean	Bahamas	2
1992	Latin America and the Caribbean	Bahamas	1
1996	Latin America and the Caribbean	Bahamas	5
2000	Latin America and the Caribbean	Bahamas	6
2004	Latin America and the Caribbean	Bahamas	2
2008	Latin America and the Caribbean	Bahamas	5
2012	Latin America and the Caribbean	Bahamas	4
2012	Western Asia	Bahrain	1
2000	Latin America and the Caribbean	Barbados	1
1996	Eastern Europe	Belarus	23
2000	Eastern Europe	Belarus	22
