ID	Name	Year	Attacker king	Defender king	attacker 1	attacker 2	attacker 3	attacker 4	defender 1	defender 2	defender 3	defender 4	attacker commander	defender commander	attacker outcome	battle type	major death	major capture	attacker size	defender size	summer	location	region	note
1	Battle of the Golden Tooth	298	Joffrey/Tommen Baratheon	Robb Stark	Lannister				Tully				Jaime Lannister	Clement Piper, Vance	win	pitched battle	1	0	15000	4000	1	Golden Tooth	The Westerlands	
2	Battle at the Mummer's Ford	298	Joffrey/Tommen Baratheon	Robb Stark	Lannister				Baratheon				Gregor Clegane	Beric Dondarrion	win	ambush	1	0		120	1	Mummer's Ford	The Riverlands	
3	Battle of Riverrun	298	Joffrey/Tommen Baratheon	Robb Stark	Lannister				Tully				Jaime Lannister, Andros Brax	Edmure Tully, Tytos Blackwood	win	pitched battle	0	1	15000	10000	1	Riverrun	The Riverlands	
4	Battle of the Green Fork	298	Robb Stark	Joffrey/Tommen Baratheon	Stark				Lannister				Roose Bolton, Wylis Manderly, Medger Cerwyn, Harrion Karstark, Halys Hornwood	Tywin Lannister, Gregor Clegane, Kevan Lannister, Addam Marbrand	loss	pitched battle	1	1	18000	20000	1	Green Fork	The Riverlands	
5	Battle of the Whispering Wood	298	Robb Stark	Joffrey/Tommen Baratheon	Stark	Tully			Lannister				Robb Stark, Brynden Tully	Jaime Lannister	win	ambush	1	1	1875	6000	1	Whispering Wood	The Riverlands	
6	Battle of the Camps	298	Robb Stark	Joffrey/Tommen Baratheon	Stark	Tully			Lannister				Robb Stark, Tytos Blackwood, Brynden Tully	Lord Andros Brax, Forley Prester	win	ambush	0	0	6000	12625	1	Riverrun	The Riverlands	
7	Sack of Darry	298	Joffrey/Tommen Baratheon	Robb Stark	Lannister				Darry				Gregor Clegane	Lyman Darry	win	pitched battle	0	0			1	Darry	The Riverlands	
8	Battle of Moat Cailin	299	Balon/Euron Greyjoy	Robb Stark	Greyjoy				Stark				Victarion Greyjoy		win	pitched battle	0	0			1	Moat Cailin	The North	
9	Battle of Deepwood Motte	299	Balon/Euron Greyjoy	Robb Stark	Greyjoy				Stark				Asha Greyjoy		win	siege	0	0	1000		1	Deepwood Motte	The North	
10	Battle of the Stony Shore	299	Balon/Euron Greyjoy	Robb Stark	Greyjoy				Stark				Theon Greyjoy		win	ambush	0	0	264		1	Stony Shore	The North	Greyjoy's troop number based on the Battle of Deepwood Motte, in which Asha had 1000 soldier on 30 longships. That comes out to ~33 per longship. In the Battle of the Stony Shore, Theon has 8 longships, and just we can estimate that he has 8*33 =265 troops.
