Year,Media,Market Share
1980,8-track,14.3
1981,8-track,7.9
1982,8-track,1.0
1983,8-track,0
1984,8-track,0
1985,8-track,0
1986,8-track,0
1987,8-track,0
1988,8-track,0
1989,8-track,0
1990,8-track,0
1991,8-track,0
1992,8-track,0
1993,8-track,0
1994,8-track,0
1995,8-track,0
1996,8-track,0
1997,8-track,0
1998,8-track,0
1999,8-track,0
2000,8-track,0
2001,8-track,0
2002,8-track,0
2003,8-track,0
2004,8-track,0
2005,8-track,0
2006,8-track,0
2007,8-track,0
2008,8-track,0
2009,8-track,0
2010,8-track,0
1980,Cassete,19.1
1981,Cassete,26.7
1982,Cassete,38.2
1983,Cassete,47.8
1984,Cassete,55
1985,Cassete,55.3
1986,Cassete,53.9
1987,Cassete,53.2
1988,Cassete,54.1
1989,Cassete,50.8
1990,Cassete,46
1991,Cassete,38.5
1992,Cassete,34.5
1993,Cassete,29
1994,Cassete,24.7
1995,Cassete,18.7
1996,Cassete,15.2
1997,Cassete,12.4
1998,Cassete,7.3
1999,Cassete,7.3
2000,Cassete,4.4
2001,Cassete,2.6
2002,Cassete,1.7
2003,Cassete,0.9
2004,Cassete,0.2
2005,Cassete,0.1
2006,Cassete,0
2007,Cassete,0
2008,Cassete,0
2009,Cassete,0
2010,Cassete,0
1980,Cassete single,0
1981,Cassete single,0
1982,Cassete single,0
1983,Cassete single,0
1984,Cassete single,0
1985,Cassete single,0
1986,Cassete single,0
1987,Cassete single,0.3
1988,Cassete single,0.9
1989,Cassete single,3
1990,Cassete single,3.4
1991,Cassete single,2.9
1992,Cassete single,3.3
1993,Cassete single,3
1994,Cassete single,2.3
1995,Cassete single,1.9
1996,Cassete single,1.5
1997,Cassete single,1.1
1998,Cassete single,0.3
1999,Cassete single,0.3
2000,Cassete single,0
2001,Cassete single,0
2002,Cassete single,0
2003,Cassete single,0
2004,Cassete single,0
2005,Cassete single,0
2006,Cassete single,0
2007,Cassete single,0
2008,Cassete single,0
2009,Cassete single,0
2010,Cassete single,0
1980,CD,0
1981,CD,0
1982,CD,0
1983,CD,0.5
1984,CD,2.4
1985,CD,8.9
1986,CD,20
1987,CD,28.5
1988,CD,33.4
1989,CD,39.3
1990,CD,45.8
1991,CD,55.5
1992,CD,59.2
1993,CD,64.8
1994,CD,70.1
1995,CD,76.1
1996,CD,79.2
1997,CD,81.1
1998,CD,87.9
1999,CD,87.9
2000,CD,92.3
2001,CD,94
2002,CD,95.3
2003,CD,94.7
2004,CD,92.7
2005,CD,85.6
2006,CD,79.7
2007,CD,70
2008,CD,62.4
2009,CD,55.6
2010,CD,49.1
1980,CD single,0
1981,CD single,0
1982,CD single,0
1983,CD single,0
1984,CD single,0
1985,CD single,0
1986,CD single,0
1987,CD single,0
1988,CD single,0.2
1989,CD single,0
1990,CD single,0.1
1991,CD single,0.4
1992,CD single,0.5
1993,CD single,0.5
1994,CD single,0.5
1995,CD single,0.9
1996,CD single,1.5
1997,CD single,2.2
1998,CD single,1.5
1999,CD single,1.5
2000,CD single,1
2001,CD single,0.6
2002,CD single,0.2
2003,CD single,0.3
2004,CD single,0.1
2005,CD single,0.1
2006,CD single,0.1
2007,CD single,0.1
2008,CD single,0
2009,CD single,0
2010,CD single,0
1980,Download Album,0
1981,Download Album,0
1982,Download Album,0
1983,Download Album,0
1984,Download Album,0
1985,Download Album,0
1986,Download Album,0
1987,Download Album,0
1988,Download Album,0
1989,Download Album,0
1990,Download Album,0
1991,Download Album,0
1992,Download Album,0
1993,Download Album,0
1994,Download Album,0
1995,Download Album,0
1996,Download Album,0
1997,Download Album,0
1998,Download Album,0
1999,Download Album,0
2000,Download Album,0
2001,Download Album,0
2002,Download Album,0
2003,Download Album,0
2004,Download Album,0.4
2005,Download Album,1.2
2006,Download Album,2.5
2007,Download Album,4.9
2008,Download Album,7.9
2009,Download Album,11
2010,Download Album,14.8
1980,Download Music Video,0
1981,Download Music Video,0
1982,Download Music Video,0
1983,Download Music Video,0
1984,Download Music Video,0
1985,Download Music Video,0
1986,Download Music Video,0
1987,Download Music Video,0
1988,Download Music Video,0
1989,Download Music Video,0
1990,Download Music Video,0
1991,Download Music Video,0
1992,Download Music Video,0
1993,Download Music Video,0
1994,Download Music Video,0
1995,Download Music Video,0
1996,Download Music Video,0
1997,Download Music Video,0
1998,Download Music Video,0
1999,Download Music Video,0
2000,Download Music Video,0
2001,Download Music Video,0
2002,Download Music Video,0
2003,Download Music Video,0
2004,Download Music Video,0
2005,Download Music Video,0
2006,Download Music Video,0.2
2007,Download Music Video,0.3
2008,Download Music Video,0.5
2009,Download Music Video,0.5
2010,Download Music Video,0.5
1980,Download Single,0
1981,Download Single,0
1982,Download Single,0
1983,Download Single,0
1984,Download Single,0
1985,Download Single,0
1986,Download Single,0
1987,Download Single,0
1988,Download Single,0
1989,Download Single,0
1990,Download Single,0
1991,Download Single,0
1992,Download Single,0
1993,Download Single,0
1994,Download Single,0
1995,Download Single,0
1996,Download Single,0
1997,Download Single,0
1998,Download Single,0
1999,Download Single,0
