Gender	Race	Age group	Bias-Motivation
MALE	BLACK HISPANIC	30 - 40	ANTI-ASIAN
MALE	BLACK	30 - 40	ANTI-ASIAN
FEMALE	BLACK	50 - 50	ANTI-ASIAN
MALE	WHITE	50 - 50	ANTI-ASIAN
FEMALE	WHITE	30 - 40	ANTI-ASIAN
MALE	WHITE HISPANIC	10 - 20	ANTI-ASIAN
MALE	WHITE HISPANIC	10 - 20	ANTI-ASIAN
FEMALE	BLACK	10 - 20	ANTI-ASIAN
MALE	BLACK HISPANIC	30 - 40	ANTI-ASIAN
FEMALE	BLACK	10 - 20	ANTI-ASIAN
FEMALE	BLACK	10 - 20	ANTI-ASIAN
FEMALE	BLACK	10 - 20	ANTI-ASIAN
FEMALE	BLACK	10 - 20	ANTI-ASIAN
MALE	BLACK	60 - 60	ANTI-ASIAN
MALE	BLACK	10 - 20	ANTI-ASIAN
MALE	BLACK	50 - 60	ANTI-ASIAN
MALE	BLACK	50 - 60	ANTI-ASIAN
MALE	WHITE HISPANIC	40 - 50	ANTI-ASIAN
MALE	WHITE HISPANIC	50 - 50	ANTI-ASIAN
FEMALE	WHITE HISPANIC	70 - 70	ANTI-ASIAN
MALE	WHITE HISPANIC	20 - 30	ANTI-BLACK
MALE	ASIAN / PACIFIC ISLANDER	30 - 40	ANTI-BLACK
MALE	WHITE	40 - 50	ANTI-BLACK
MALE	ASIAN / PACIFIC ISLANDER	50 - 60	ANTI-BLACK
MALE	WHITE	40 - 50	ANTI-BLACK
FEMALE	WHITE HISPANIC	50 - 60	ANTI-BLACK
FEMALE	WHITE HISPANIC	70 - 70	ANTI-BLACK
MALE	BLACK	50 - 50	ANTI-FEMALE
MALE	BLACK	50 - 50	ANTI-FEMALE
MALE	BLACK	50 - 50	ANTI-FEMALE
MALE	BLACK	50 - 50	ANTI-FEMALE
FEMALE	WHITE HISPANIC	30 - 40	ANTI-ISLAMIC(MUSLIM)
FEMALE	BLACK	40 - 50	ANTI-ISLAMIC(MUSLIM)
MALE	WHITE	30 - 40	ANTI-JEWISH
MALE	WHITE	40 - 40	ANTI-JEWISH
MALE	BLACK	50 - 60	ANTI-JEWISH
MALE	ASIAN / PACIFIC ISLANDER	50 - 60	ANTI-JEWISH
MALE	WHITE	60 - 70	ANTI-JEWISH
MALE	ASIAN / PACIFIC ISLANDER	20 - 30	ANTI-JEWISH
FEMALE	WHITE	50 - 60	ANTI-JEWISH
MALE	WHITE	30 - 40	ANTI-JEWISH
MALE	WHITE	30 - 40	ANTI-JEWISH
MALE	WHITE	30 - 40	ANTI-JEWISH
MALE	WHITE	30 - 40	ANTI-JEWISH
MALE	WHITE	20 - 30	ANTI-JEWISH
MALE	WHITE HISPANIC	20 - 30	ANTI-JEWISH
MALE	WHITE HISPANIC	20 - 30	ANTI-JEWISH
MALE	BLACK	50 - 60	ANTI-JEWISH
MALE	WHITE HISPANIC	20 - 30	ANTI-JEWISH
MALE	BLACK	10 - 20	ANTI-JEWISH
MALE	WHITE	30 - 40	ANTI-JEWISH
FEMALE	BLACK	50 - 60	ANTI-JEWISH
MALE	WHITE HISPANIC	20 - 20	ANTI-JEWISH
FEMALE	BLACK	20 - 30	ANTI-JEWISH
MALE	WHITE	20 - 30	ANTI-JEWISH
FEMALE	WHITE HISPANIC	40 - 50	ANTI-JEWISH
MALE	WHITE HISPANIC	30 - 40	ANTI-JEWISH
MALE	ASIAN / PACIFIC ISLANDER	10 - 20	ANTI-JEWISH
MALE	WHITE HISPANIC	20 - 30	ANTI-LGBT(MIXED GROUP)
FEMALE	WHITE HISPANIC	20 - 30	ANTI-LGBT(MIXED GROUP)
MALE	BLACK	30 - 40	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	40 - 50	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	30 - 40	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	20 - 30	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	20 - 30	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	30 - 40	ANTI-MALE HOMOSEXUAL(GAY)
MALE	WHITE HISPANIC	20 - 30	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	40 - 50	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	30 - 40	ANTI-MALE HOMOSEXUAL(GAY)
MALE	WHITE	30 - 40	ANTI-MALE HOMOSEXUAL(GAY)
MALE	WHITE	30 - 40	ANTI-MALE HOMOSEXUAL(GAY)
MALE	WHITE	30 - 40	ANTI-MALE HOMOSEXUAL(GAY)
MALE	WHITE	30 - 40	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	50 - 60	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK HISPANIC	20 - 30	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK HISPANIC	20 - 30	ANTI-MALE HOMOSEXUAL(GAY)
MALE	WHITE HISPANIC	30 - 30	ANTI-MALE HOMOSEXUAL(GAY)
MALE	WHITE HISPANIC	30 - 30	ANTI-MALE HOMOSEXUAL(GAY)
MALE	WHITE HISPANIC	40 - 50	ANTI-MALE HOMOSEXUAL(GAY)
FEMALE	WHITE HISPANIC	70 - 70	ANTI-MALE HOMOSEXUAL(GAY)
MALE	BLACK	30 - 30	ANTI-TRANSGENDER
MALE	WHITE	20 - 30	ANTI-TRANSGENDER
MALE	BLACK	30 - 30	ANTI-WHITE
MALE	BLACK	20 - 30	ANTI-WHITE
MALE	BLACK HISPANIC	20 - 30	ANTI-WHITE
FEMALE	WHITE HISPANIC	70 - 70	ANTI-WHITE
FEMALE	WHITE HISPANIC	70 - 70	ANTI-WHITE
MALE	BLACK HISPANIC	30 - 30	OTHER
MALE	BLACK	30 - 40	OTHER
MALE	ASIAN / PACIFIC ISLANDER	40 - 50	OTHER
MALE	BLACK	40 - 50	OTHER
MALE	WHITE	10 - 20	OTHER
MALE	WHITE HISPANIC	50 - 60	OTHER
