Genere	Title	Subgenre	Premiere_Year	Status	Seasons	Episodes	IMDB_Rating
Animation	Star Wars: The Clone Wars (season 6)	Animation	2014	Ended	1	13	80
Comedy	Arrested Development (season 4)	Comedy	2013	Renewed	1	15	89
Comedy	Russell Peters vs. the World	Docu-Series	2013	Ended	1	4	60
Comedy	BoJack Horseman	Adult Animation	2014	Renewed	3	36	84
Comedy	Trailer Park Boys (seasons 8, 9, 10 and 11)	Mockumentary	2014	Pending	4	40	85
Comedy	Unbreakable Kimmy Schmidt	Comedy	2015	Pending	3	39	79
Comedy	Grace and Frankie	Comedy-drama	2015	Renewed	3	39	82
Comedy	Master of None	Comedy-drama	2015	Pending	2	20	83
Comedy	W/ Bob & David	Sketch comedy	2015	Ended	1	5	76
Comedy	Wet Hot American Summer: First Day of Camp	Satirical comedy	2015	NA	1	8	75
Comedy	F Is for Family	Sitcom	2015	Pending	2	16	79
Comedy	Love	Romantic comedy	2016	Renewed	2	22	78
Comedy	Fuller House	Sitcom	2016	Renewed	2	26	71
Comedy	Flaked	Comedy	2016	Pending	2	14	72
Comedy	Netflix Presents: The Characters	Sketch comedy	2016	Ended	1	8	53
Comedy	The Ranch	Sitcom	2016	Ongoing	1	20	76
Comedy	Lady Dynamite	Comedy	2016	Renewed	1	12	76
Comedy	Easy	Romantic comedy anthology series	2016	Renewed	1	8	68
Comedy	Haters Back Off	Comedy	2016	Renewed	1	8	62
Comedy	Trailer Park Boys Out of the Park: Europe	Mockumentary	2016	NA	1	8	72
Comedy	Lovesick (season 2)	Comedy	2016	Renewed	1	8	81
Comedy	One Day at a Time	Sitcom	2017	Renewed	1	13	81
Comedy	Santa Clarita Diet	Comedy-horror	2017	Renewed	1	10	77
Comedy	Mystery Science Theater 3000: The Return	Comic science fiction	2017	Pending	1	14	86
Comedy	Girlboss	Comedy	2017	Pending	1	13	72
Comedy	Dear White People	Satire/Drama	2017	Pending	1	10	64
Docu-Series	Chef's Table	Culinary art	2015	Pending	3	18	87
Docu-Series	Making a Murderer	Crime drama	2015	Renewed	1	10	88
Docu-Series	Chelsea Does	Comedy	2016	Ended	1	4	75
Docu-Series	Cooked	Culinary art	2016	Ended	1	4	82
Docu-Series	Last Chance U	Sport	2016	Renewed	1	6	85
Docu-Series	Fearless	Sport	2016	Pending	1	6	0
Docu-Series	Chef's Table: France	Culinary art	2016	Pending	1	4	84
Docu-Series	Roman Empire: Reign of Blood	Historical drama	2016	Pending	1	6	67
Docu-Series	White Rabbit Project	Science investigation	2016	Pending	1	10	70
Docu-Series	Captive	Documentary	2016	Pending	1	8	53
Docu-Series	Abstract: The Art of Design	Documentary	2017	Pending	1	8	86
Docu-Series	Five Came Back	Documentary	2017	Pending	1	3	86
Docu-Series	Hot Girls Wanted: Turned On	Documentary	2017	Pending	1	6	69
Docu-Series	The Keepers	Documentary	2017	Pending	1	7	84
Drama	House of Cards	Political drama	2013	Pending	5	65	90
Drama	Hemlock Grove	Horror/thriller	2013	Ended	3	33	72
Drama	Orange Is the New Black	Comedy-drama	2013	Renewed	5	65	83
Drama	Marco Polo	Historical drama	2014	Ended	2	20	81
Drama	The Killing (season 4)	Crime drama	2014	Ended	1	6	77
Drama	Bloodline	Thriller	2015	Ended	3	33	82
Drama	Sense8	Science fiction	2015	Ended	2	23	84
Drama	Narcos	Crime drama	2015	Renewed	2	20	89
Drama	Longmire (seasons 4 and 5)	Crime drama	2015	Renewed	2	20	83
Drama	Stranger Things	Science fiction/horror	2016	Ongoing	1	9	90
