Source area,Target area,Millions of persons
Africa,Africa,3.142471
Africa,Europe,2.107883
Africa,North America,0.540887
Africa,Oceania,0.155988
Africa,West Asia,0.673004
East Asia,East Asia,1.630997
East Asia,Europe,0.601265
East Asia,North America,0.97306
East Asia,Oceania,0.333608
East Asia,South East Asia,0.380388
East Asia,West Asia,0.869311
Europe,Europe,2.401476
Latin America,Europe,1.762587
Latin America,Latin America,0.879198
Latin America,North America,3.627847
North America,Europe,1.215929
North America,Latin America,0.276908
Oceania,Europe,0.17037
Oceania,Oceania,0.190706
South Asia,East Asia,0.525881
South Asia,Europe,1.390272
South Asia,North America,1.508008
South Asia,Oceania,0.34742
South Asia,South Asia,1.307907
South Asia,West Asia,4.902081
South East Asia,East Asia,0.145264
South East Asia,Europe,0.468762
South East Asia,North America,1.057904
South East Asia,Oceania,0.278746
South East Asia,South East Asia,0.781316
Soviet Union,Europe,0.60923
Soviet Union,Soviet Union,1.870501
West Asia,Europe,0.449623
West Asia,North America,0.169274
West Asia,West Asia,0.927243
