Country	Agricultural (US$MM)	Industrial (US$MM)	Service (US$MM)
China	1833590	9400050	11976360
European Union	333600	5233350	14782650
United States	175410	3722590	15592000
India	1458996	2179020	5826510
Japan	59873	1638343	3739341
Germany	29393	1289093	2880514
Russia	188752	1301184	2501968
Indonesia	445250	1332500	1475500
Brazil	214368	672336	2361296
United Kingdom	20475	590850	2316600
France	48552	556920	2250528
Mexico	88668	785697	1588635
Italy	48657	553763	1712263
Turkey	148648	706078	1326902
Korea, South	44770	799755	1186405
Spain	46228	412496	1319276
Saudi Arabia	46150	784550	944300
Canada	28384	500268	1245348
Iran	157440	578920	902000
Australia	44928	315744	888576
Thailand	101352	447432	687216
Egypt	140868	412972	650160
Taiwan	21402	428040	738369
Poland	27024	452652	646324
Nigeria	236531	252225	632244
Pakistan	258884	202651	599465
Malaysia	82130	350921	500249
Netherlands	14790	165468	648929
Argentina	99587	259110	563403
Philippines	84211	268423	524566
