Year	Country	Medals
1896	Australia	2
1896	Austria	5
1896	Denmark	6
1896	France	11
1896	Germany	33
1896	Great Britain	7
1896	Greece	52
1896	Hungary	6
1896	International Olympic Committee Mixed teams	6
1896	Switzerland	3
1896	United States	20
1900	Australia	5
1900	Austria	6
1900	Belgium	39
1900	Bohemia	2
1900	Canada	2
1900	Cuba	2
1900	Denmark	6
1900	France	185
1900	Germany	40
1900	Great Britain	78
1900	Hungary	5
1900	India	2
1900	International Olympic Committee Mixed teams	34
1900	Italy	4
1900	Netherlands	20
1900	Norway	9
1900	Spain	2
1900	Sweden	1
1900	Switzerland	15
1900	United States	55
1904	Austria	1
1904	Canada	35
1904	Cuba	9
1904	Germany	13
1904	Great Britain	2
1904	Greece	2
1904	Hungary	4
1904	International Olympic Committee Mixed teams	8
1904	Switzerland	2
1904	United States	394
1908	Australasia	19
1908	Austria	1
1908	Belgium	31
1908	Bohemia	5
1908	Canada	51
1908	Denmark	15
1908	Finland	29
1908	France	35
1908	Germany	22
1908	Great Britain	347
1908	Greece	3
1908	Hungary	18
1908	Italy	7
1908	Netherlands	11
1908	Norway	44
1908	Russian Empire	3
1908	South Africa	2
1908	Sweden	98
1908	United States	63
1912	Australasia	10
1912	Austria	14
1912	Belgium	19
1912	Canada	8
1912	Denmark	84
1912	Finland	67
1912	France	25
1912	Germany	52
1912	Great Britain	160
1912	Greece	2
1912	Hungary	30
1912	Italy	21
1912	Netherlands	22
1912	Norway	76
1912	Russian Empire	14
1912	South Africa	7
1912	Sweden	173
1912	United States	101
1920	Australia	6
1920	Belgium	188
1920	Brazil	7
1920	Canada	16
1920	Czech Republic	10
1920	Denmark	75
1920	Estonia	3
1920	Finland	49
1920	France	141
1920	Great Britain	107
1920	Greece	5
1920	Italy	84
1920	Japan	3
1920	Luxembourg	1
1920	Netherlands	48
1920	New Zealand	1
1920	Norway	141
1920	South Africa	21
1920	Spain	24
1920	Sweden	146
1920	Switzerland	29
1920	United States	193
1924	Argentina	11
1924	Australia	10
1924	Austria	4
1924	Belgium	38
1924	Canada	20
1924	Czech Republic	10
1924	Denmark	12
1924	Estonia	6
1924	Finland	52
1924	France	122
1924	Great Britain	66
1924	Haiti	7
1924	Hungary	20
1924	Italy	51
1924	Japan	1
1924	Netherlands	26
1924	New Zealand	1
1924	Norway	26
1924	Poland	5
1924	Portugal	3
1924	Romania	23
1924	South Africa	3
1924	Sweden	80
1924	Switzerland	65
1924	United States	198
1924	Uruguay	22
1924	Yugoslavia	2
1928	Argentina	32
1928	Australia	4
1928	Austria	4
1928	Belgium	5
1928	Canada	33
1928	Chile	1
1928	Czech Republic	16
1928	Denmark	13
1928	Egypt	4
1928	Estonia	9
1928	Finland	25
1928	France	36
1928	Germany	72
1928	Great Britain	55
1928	Haiti	1
1928	Hungary	20
1928	India	15
1928	Ireland	1
1928	Italy	70
1928	Japan	8
1928	Netherlands	65
1928	New Zealand	1
1928	Norway	9
1928	Philippines	1
1928	Poland	18
1928	South Africa	6
1928	Spain	3
1928	Sweden	36
1928	Switzerland	29
1928	United States	84
1928	Uruguay	22
1928	Yugoslavia	12
1932	Argentina	4
1932	Australia	5
1932	Austria	5
1932	Canada	38
1932	Czech Republic	4
1932	Denmark	9
1932	Finland	29
1932	France	37
1932	Germany	38
1932	Great Britain	34
1932	Hungary	32
1932	India	11
1932	Ireland	2
1932	Italy	77
1932	Japan	31
1932	Latvia	1
1932	Mexico	2
1932	Netherlands	12
1932	New Zealand	2
1932	Philippines	3
1932	Poland	19
1932	South Africa	5
1932	Spain	1
1932	Sweden	31
1932	Switzerland	1
1932	United States	181
1932	Uruguay	1
1936	Argentina	11
1936	Australia	1
1936	Austria	50
1936	Belgium	12
1936	Canada	22
1936	Czech Republic	17
1936	Denmark	6
1936	Egypt	5
1936	Estonia	7
1936	Finland	26
1936	France	43
1936	Germany	210
1936	Great Britain	36
1936	Hungary	42
1936	India	19
1936	Italy	71
1936	Japan	21
